domain,aligned_N,classification_change_rate,condition_label_change_rate,cross_environment_drift_rate,within_environment_label_drift_rate,self_loop_stable_rate,any_meaning_drift_rate,semantic_drift_without_reclassification_rate,gene_only_AUROC_condition_label_change,regime_only_AUROC_condition_label_change,gene_plus_regime_AUROC_condition_label_change,gene_only_AUROC_cross_environment,regime_only_AUROC_cross_environment,gene_plus_regime_AUROC_cross_environment,low_portability_cross_environment_OR,low_portability_cross_environment_FDR,stable_architecture_self_loop_OR,stable_architecture_self_loop_FDR,primary_unstable_grammar,primary_stable_grammar,claim_strength
inherited_arrhythmia,942,0.0998,0.3875,0.155,0.2325,0.845,0.4501,0.3397,0.7659,0.7655,0.8063,0.8165,0.7728,0.8483,4.804733727810651,3.5956211654371846e-14,4.4523809523809526,0.0046403449528796,collision/provocation/postmortem/low portability,canonical/deterministic phenotype-anchored self-loop,cardiovascular_domain_supported
cardiomyopathy,4918,0.0,0.3865,0.0986,0.2879,0.9014,0.4036,0.3865,0.6556,0.7024,0.7277,0.5743,0.7713,0.8339,10.612245995054296,4.2910596518905704e-102,,,composite low baseline portability,high baseline portability / self-loop dominant domain,external_cardiovascular_replication_supported
hereditary_cancer,20865,0.0,0.3643,0.1619,0.2024,0.8381,0.382,0.3643,0.6353,0.6467,0.6951,0.7907,0.7636,0.8732,6.555712270803949,0.0,24.98555726728684,1.231937092093511e-204,syndrome-organ collision + low portability,syndrome-anchored self-loop,noncardiovascular_replication_supported_three_domain_evidence
