hypothesis,regime,OR,CI95_low,CI95_high,p_value,FDR_p_value,N,endpoint_positives,regime_rate,background_rate,result
phenotype_anchored_monogenic enriched for self_loop_stable,phenotype_anchored_monogenic,2.7608819543729073,2.035531085230891,3.744707816691164,2.697674668344623e-12,8.09302400503387e-12,756,712,0.9417989417989417,0.8529400438984943,supported_directionally
syndrome_anchored subset enriched for self_loop_stable,syndrome_organ_boundary,12.603735208223286,5.429661439540605,29.256730455084814,1.3688571799304598e-12,6.159857309687069e-12,408,403,0.9877450980392157,0.8534027434738002,supported_directionally
pleiotropic_collision enriched for cross_environment_drift,pleiotropic_collision,0.2571615059559647,0.015150352311924855,4.365049655874147,0.38426765253578804,0.43230110910276154,11,0,0.0,0.14460582466122632,not_supported_directionally
syndrome_organ_boundary enriched for cross_environment_drift,syndrome_organ_boundary,0.07934155894893377,0.034180169295923504,0.1841735458343068,1.3688571799304594e-12,6.159857309687069e-12,408,5,0.012254901960784314,0.1465972565261998,not_supported_directionally
trigger_dependent_latent enriched for contextual_repair,trigger_dependent_latent,0.6326441361098886,0.33015885547270374,1.2122606930569442,0.18786812280206822,0.24154472931694485,45,33,0.7333333333333333,0.8090329835082459,not_supported_directionally
structural_functional_overlap enriched for disease_specific_review,structural_functional_overlap,82.43202259195897,46.145670556723715,147.25191478686077,5.33503125806296e-12,1.2003820330641659e-11,2127,2116,0.9948283968030089,0.6906659077973819,supported_directionally
genotype_first_absent_phenotype enriched for PRF_needed/no_deterministic_reuse,genotype_first_absent_phenotype,0.3757496203639359,0.00745459535357168,18.93969699321042,1.0,1.0,0,0,,0.7268849391955098,not_supported_directionally
modifier_penetrance_boundary enriched for population_penetrance_review,modifier_penetrance_boundary,39870.6856871638,2492.9715635902658,637661.3357254813,9.238557115753302e-12,1.3857835673629953e-11,16125,16125,1.0,0.44716981132075473,supported_directionally
nonspecific_underresolved enriched for contextual_repair/condition_label_drift,nonspecific_underresolved,3.067039711282192,2.7716981750104654,3.393851709898548,6.867692406988787e-12,1.2361846332579816e-11,7253,6791,0.9363022197711292,0.8272391125718981,supported_directionally
