gold_standard,routing_variant,unsupported_reuse,false_restriction_overrestriction,false_restriction_rate_among_true_portable,direct_use_allowed_rate,true_portable_allowed_direct_use_rate,absolute_reduction_vs_ClinVar_baseline,relative_reduction_vs_ClinVar_baseline,is_CAB_Core,is_CAB_Conservative,pareto_status,dominated_by,interpretation
temporal_condition_label_drift,ClinVar baseline,0.3692422825070159,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
temporal_condition_label_drift,metadata-only,0.3692422825070159,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
temporal_condition_label_drift,gene-only,0.07592142188961647,0.47689429373246023,0.7560657293705879,0.22978484565014032,0.24393427062941211,0.2933208606173994,0.7943858937981353,no,no,dominated,full CAB = CAB-Conservative,
temporal_condition_label_drift,regime-only,0.0608044901777362,0.4801496725912067,0.7612267900575429,0.21141253507951357,0.23877320994245713,0.3084377923292797,0.8353263072557763,no,no,pareto_frontier,,
temporal_condition_label_drift,portability-score-only,0.25103835360149673,0.16377923292797006,0.2596547428368037,0.7180168381665107,0.7403452571631963,0.11820392890551917,0.32012565869477094,no,no,pareto_frontier,,
temporal_condition_label_drift,failure-topology-only,0.0608044901777362,0.4801496725912067,0.7612267900575429,0.21141253507951357,0.23877320994245713,0.3084377923292797,0.8353263072557763,no,no,pareto_frontier,,
temporal_condition_label_drift,gene+regime = CAB-Core,0.024172123479887744,0.5740318054256315,0.9100670344663938,0.08089803554724041,0.08993296553360622,0.3450701590271282,0.934535873530604,yes,no,pareto_frontier,,CAB-Core is the preferred temporal portability operating mode if utility trade-off is acceptable.
temporal_condition_label_drift,full CAB = CAB-Conservative,0.07457436856875585,0.43221702525724975,0.6852346206323783,0.27311506080449016,0.3147653793676218,0.2946679139382601,0.7980340494527767,no,yes,pareto_frontier,,CAB-Conservative is worse than CAB-Core for temporal portability unsupported-reuse minimization; retain for conservative composite routing only.
cross_environment_drift,ClinVar baseline,0.14454630495790458,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
cross_environment_drift,metadata-only,0.14454630495790458,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
cross_environment_drift,gene-only,0.019569691300280637,0.6452385406922357,0.7542647187472662,0.22978484565014032,0.2457352812527338,0.12497661365762394,0.8646129950815429,no,no,pareto_frontier,,
cross_environment_drift,regime-only,0.010664172123479887,0.6547053320860617,0.7653311171376083,0.21141253507951357,0.23466888286239174,0.13388213283442468,0.9262231426352575,no,no,pareto_frontier,,
cross_environment_drift,portability-score-only,0.0557156220767072,0.19315247895229187,0.225789519727058,0.7180168381665107,0.774210480272942,0.08883068288119737,0.6145482785399948,no,no,pareto_frontier,,
cross_environment_drift,failure-topology-only,0.010664172123479887,0.6547053320860617,0.7653311171376083,0.21141253507951357,0.23466888286239174,0.13388213283442468,0.9262231426352575,no,no,pareto_frontier,,
cross_environment_drift,gene+regime = CAB-Core,0.0016838166510757717,0.7762394761459308,0.9074009273029481,0.08089803554724041,0.09259907269705188,0.1428624883068288,0.9883510225213564,yes,no,pareto_frontier,,
cross_environment_drift,full CAB = CAB-Conservative,0.027315247895229187,0.6096538821328344,0.7126673081970082,0.27311506080449016,0.28733269180299187,0.11723105706267539,0.8110276986797825,no,yes,pareto_frontier,,
any_meaning_drift,ClinVar baseline,0.386155285313377,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
any_meaning_drift,metadata-only,0.386155285313377,0.0,0.0,1.0,1.0,0.0,0.0,no,no,pareto_frontier,,
any_meaning_drift,gene-only,0.08,0.4640598690364827,0.7559890277354465,0.22978484565014032,0.24401097226455348,0.306155285313377,0.7928294573643411,no,no,pareto_frontier,,
any_meaning_drift,regime-only,0.06810102899906455,0.470533208606174,0.7665345931118561,0.21141253507951357,0.23346540688814385,0.31805425631431244,0.8236434108527132,no,no,pareto_frontier,,
any_meaning_drift,portability-score-only,0.26499532273152476,0.16082319925163704,0.26199329472721733,0.7180168381665107,0.7380067052727827,0.12115996258185224,0.3137596899224807,no,no,pareto_frontier,,
any_meaning_drift,failure-topology-only,0.06810102899906455,0.470533208606174,0.7665345931118561,0.21141253507951357,0.23346540688814385,0.31805425631431244,0.8236434108527132,no,no,pareto_frontier,,
any_meaning_drift,gene+regime = CAB-Core,0.025706267539756782,0.5586529466791393,0.9100883876866809,0.08089803554724041,0.08991161231331911,0.3604490177736202,0.9334302325581395,yes,no,pareto_frontier,,
any_meaning_drift,full CAB = CAB-Conservative,0.08613657623947614,0.42686623012160896,0.695397744590064,0.27311506080449016,0.304602255409936,0.3000187090739009,0.7769379844961241,no,yes,pareto_frontier,,
conservative_composite_routing,ClinVar baseline,0.8568755846585594,0.0,0.0,1.0,1.0,0.0,0.0,no,no,dominated,regime-only;portability-score-only;failure-topology-only;full CAB = CAB-Conservative,
conservative_composite_routing,metadata-only,0.8568755846585594,0.0,0.0,1.0,1.0,0.0,0.0,no,no,dominated,regime-only;portability-score-only;failure-topology-only;full CAB = CAB-Conservative,
conservative_composite_routing,gene-only,0.17717492984097288,0.09051449953227315,0.6324183006535947,0.22978484565014032,0.3675816993464052,0.6797006548175866,0.793231441048035,no,no,dominated,regime-only;failure-topology-only;gene+regime = CAB-Core;full CAB = CAB-Conservative,
conservative_composite_routing,regime-only,0.06828811973807297,0.0,0.0,0.21141253507951357,1.0,0.7885874649204865,0.9203056768558953,no,no,pareto_frontier,,
conservative_composite_routing,portability-score-only,0.5748924228250701,0.0,0.0,0.7180168381665107,1.0,0.28198316183348926,0.3290829694323144,no,no,dominated,regime-only;failure-topology-only;full CAB = CAB-Conservative,
conservative_composite_routing,failure-topology-only,0.06828811973807297,0.0,0.0,0.21141253507951357,1.0,0.7885874649204865,0.9203056768558953,no,no,pareto_frontier,,
conservative_composite_routing,gene+regime = CAB-Core,0.028288119738072964,0.09051449953227315,0.6324183006535947,0.08089803554724041,0.3675816993464052,0.8285874649204864,0.9669868995633187,yes,no,pareto_frontier,,
conservative_composite_routing,full CAB = CAB-Conservative,0.1299906454630496,0.0,0.0,0.27311506080449016,1.0,0.7268849391955098,0.848296943231441,no,yes,dominated,regime-only;failure-topology-only,
