gold_standard_name,domain,N,CAB_direct_use_allowed_N,CAB_direct_use_allowed_percent,CAB_contextual_repair_N,CAB_contextual_repair_percent,CAB_disease_specific_review_N,CAB_disease_specific_review_percent,CAB_population_penetrance_review_N,CAB_population_penetrance_review_percent,CAB_no_deterministic_reuse_N,CAB_no_deterministic_reuse_percent,true_portable_assertions_N,true_portable_assertions_percent,false_restriction_overrestriction_N,false_restriction_overrestriction_percent,direct_use_precision,direct_use_recall,nonportability_recall,specificity_for_portability,conservatism_label
temporal_condition_label_drift_gold_standard,all,26725,7299,27.311506080449018,21618,80.89055191768007,19105,71.48737137511694,2998,11.217960710944809,19426,72.68849391955098,16857,63.07577174929841,11551,43.22170252572498,0.7269488971091931,0.3147653793676218,0.7980340494527767,0.3147653793676218,not_extremely_conservative_by_threshold
temporal_condition_label_drift_gold_standard,cardiomyopathy,4918,604,12.281415209434728,4314,87.71858479056527,4314,87.71858479056527,0,0.0,4314,87.71858479056527,3017,61.346075640504274,2606,52.98901992679951,0.6804635761589404,0.13622804110043088,0.8984744871120462,0.13622804110043088,not_extremely_conservative_by_threshold
temporal_condition_label_drift_gold_standard,hereditary_cancer,20865,6298,30.184519530313924,16759,80.32111190989696,14449,69.24994009106159,2998,14.368559789120535,14567,69.81548046968608,13263,63.56578001437815,8745,41.912293314162476,0.7173705938393141,0.34064691246324363,0.7658510918179426,0.34064691246324363,not_extremely_conservative_by_threshold
temporal_condition_label_drift_gold_standard,inherited_arrhythmia,942,397,42.14437367303609,545,57.85562632696391,342,36.30573248407643,0,0.0,545,57.85562632696391,577,61.252653927813164,200,21.231422505307858,0.9496221662468514,0.6533795493934142,0.9452054794520548,0.6533795493934142,not_extremely_conservative_by_threshold
conservative_composite_routing_gold_standard,all,26725,7299,27.311506080449018,21618,80.89055191768007,19105,71.48737137511694,2998,11.217960710944809,19426,72.68849391955098,3825,14.31244153414406,0,0.0,0.5240443896424167,1.0,0.848296943231441,1.0,not_extremely_conservative_by_threshold
conservative_composite_routing_gold_standard,cardiomyopathy,4918,604,12.281415209434728,4314,87.71858479056527,4314,87.71858479056527,0,0.0,4314,87.71858479056527,411,8.357055713704758,0,0.0,0.6804635761589404,1.0,0.9571777235411582,1.0,not_extremely_conservative_by_threshold
conservative_composite_routing_gold_standard,hereditary_cancer,20865,6298,30.184519530313924,16759,80.32111190989696,14449,69.24994009106159,2998,14.368559789120535,14567,69.81548046968608,3037,14.555475676971005,0,0.0,0.48221657669101303,1.0,0.8170854835090868,1.0,not_extremely_conservative_by_threshold
conservative_composite_routing_gold_standard,inherited_arrhythmia,942,397,42.14437367303609,545,57.85562632696391,342,36.30573248407643,0,0.0,545,57.85562632696391,377,40.02123142250531,0,0.0,0.9496221662468514,1.0,0.9646017699115044,1.0,not_extremely_conservative_by_threshold
