domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
all_domains,cross_environment_drift,regime-only,baseline disease-model regime only,comparator,26725,3863,0.0106641721234798,13.388213283442468,92.62231426352577,0.6547053320860617,0.2114125350795135,0.2346688828623917,0.7653311171376083,0.9495575221238938,0.2346688828623917,0.9262231426352576,0.2346688828623917,0.286951640067367,0.5804460127488247,0.6653695042095417
all_domains,cross_environment_drift,portability-score-only,baseline portability score threshold only,comparator,26725,3863,0.0557156220767072,8.883068288119738,61.45482785399948,0.1931524789522918,0.7180168381665107,0.774210480272942,0.225789519727058,0.922403460315806,0.774210480272942,0.6145482785399948,0.774210480272942,0.4165277655934731,0.6943793794064684,0.248868101028999
all_domains,cross_environment_drift,failure-topology-only,baseline failure/regime topology only,comparator,26725,3863,0.0106641721234798,13.388213283442468,92.62231426352577,0.6547053320860617,0.2114125350795135,0.2346688828623917,0.7653311171376083,0.9495575221238938,0.2346688828623917,0.9262231426352576,0.2346688828623917,0.286951640067367,0.5804460127488247,0.6653695042095417
all_domains,cross_environment_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,26725,3863,0.0016838166510757,14.28624883068288,98.83510225213564,0.7762394761459308,0.0808980355472404,0.0925990726970518,0.907400927302948,0.9791859389454208,0.0925990726970518,0.9883510225213564,0.0925990726970518,0.2686273130232885,0.5404750476092042,0.7779232927970066
all_domains,cross_environment_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,3863,0.0273152478952291,11.72310570626754,81.10276986797825,0.6096538821328344,0.2731150608044901,0.2873326918029918,0.7126673081970082,0.8999862994930813,0.2873326918029918,0.8110276986797825,0.2873326918029918,0.2690540598565846,0.5491801952413872,0.6369691300280637
cardiomyopathy,cross_environment_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,4918,485,0.0986173241154941,0.0,0.0,0.0,1.0,1.0,0.0,0.901382675884506,1.0,0.0,1.0,,0.5,0.0986173241154941
cardiomyopathy,cross_environment_drift,metadata-only,baseline review/status/submitter metadata only,comparator,4918,485,0.0986173241154941,0.0,0.0,0.0,1.0,1.0,0.0,0.901382675884506,1.0,0.0,1.0,,0.5,0.0986173241154941
cardiomyopathy,cross_environment_drift,gene-only,gene identity only,comparator,4918,485,0.0831638877592517,1.5453436356242385,15.670103092783512,0.1240341602277348,0.8605124034160228,0.8623956688472818,0.1376043311527182,0.9033553875236296,0.8623956688472818,0.156701030927835,0.8623956688472818,0.1298035866780529,0.5095483498875584,0.2071980479869865
cardiomyopathy,cross_environment_drift,regime-only,baseline disease-model regime only,comparator,4918,485,0.0040666937779585,9.45506303375356,95.8762886597938,0.7826352175681172,0.1228141520943472,0.131739228513422,0.868260771486578,0.9668874172185432,0.131739228513422,0.9587628865979382,0.131739228513422,0.1937903729943738,0.5452510575556802,0.7867019113460756
cardiomyopathy,cross_environment_drift,portability-score-only,baseline portability score threshold only,comparator,4918,485,0.0144367629117527,8.418056120374136,85.36082474226804,0.3196421309475396,0.596177307848719,0.6453868711933228,0.3546131288066771,0.9757844474761256,0.6453868711933228,0.8536082474226804,0.6453868711933228,0.3350870093079724,0.7494975593080015,0.3340788938592924
