domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
all_domains,any_meaning_drift,regime-only,baseline disease-model regime only,comparator,26725,10320,0.0681010289990645,31.805425631431245,82.36434108527132,0.470533208606174,0.2114125350795135,0.2334654068881438,0.7665345931118561,0.6778761061946903,0.2334654068881438,0.8236434108527132,0.2334654068881438,0.5414874980092371,0.5285544088704285,0.5386342376052385
all_domains,any_meaning_drift,portability-score-only,baseline portability score threshold only,comparator,26725,10320,0.2649953227315247,12.115996258185223,31.375968992248072,0.160823199251637,0.7180168381665107,0.7380067052727827,0.2619932947272173,0.630934389493981,0.7380067052727827,0.3137596899224806,0.7380067052727827,0.362679211469534,0.5258831975976317,0.4258185219831618
all_domains,any_meaning_drift,failure-topology-only,baseline failure/regime topology only,comparator,26725,10320,0.0681010289990645,31.805425631431245,82.36434108527132,0.470533208606174,0.2114125350795135,0.2334654068881438,0.7665345931118561,0.6778761061946903,0.2334654068881438,0.8236434108527132,0.2334654068881438,0.5414874980092371,0.5285544088704285,0.5386342376052385
all_domains,any_meaning_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,26725,10320,0.0257062675397567,36.04490177736202,93.34302325581396,0.5586529466791393,0.0808980355472404,0.0899116123133191,0.9100883876866808,0.6822386679000925,0.0899116123133191,0.9334302325581396,0.0899116123133191,0.5523034142705616,0.5116709224357293,0.5843592142188961
all_domains,any_meaning_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,10320,0.0861365762394761,30.00187090739009,77.6937984496124,0.4268662301216089,0.2731150608044901,0.304602255409936,0.695397744590064,0.684614330730237,0.304602255409936,0.7769379844961241,0.304602255409936,0.5390976938075708,0.54077011995303,0.5130028063610851
cardiomyopathy,any_meaning_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,4918,1985,0.4036193574623831,0.0,0.0,0.0,1.0,1.0,0.0,0.5963806425376169,1.0,0.0,1.0,,0.5,0.4036193574623831
cardiomyopathy,any_meaning_drift,metadata-only,baseline review/status/submitter metadata only,comparator,4918,1985,0.4036193574623831,0.0,0.0,0.0,1.0,1.0,0.0,0.5963806425376169,1.0,0.0,1.0,,0.5,0.4036193574623831
cardiomyopathy,any_meaning_drift,gene-only,gene identity only,comparator,4918,1985,0.3159821065473769,8.763725091500612,21.71284634760706,0.0518503456689711,0.8605124034160228,0.9130583020797818,0.0869416979202182,0.6327977315689981,0.9130583020797818,0.2171284634760705,0.9130583020797818,0.3227255709472108,0.5650933827779262,0.3678324522163481
cardiomyopathy,any_meaning_drift,regime-only,baseline disease-model regime only,comparator,4918,1985,0.0416836112240748,36.19357462383083,89.67254408060454,0.5152501016673444,0.1228141520943472,0.1360381861575179,0.863961813842482,0.6605960264900662,0.1360381861575179,0.8967254408060453,0.1360381861575179,0.565169074456263,0.5163818134817816,0.5569337128914192
cardiomyopathy,any_meaning_drift,portability-score-only,baseline portability score threshold only,comparator,4918,1985,0.241561610410736,16.205774705164703,40.15113350125945,0.241764945099634,0.596177307848719,0.5946130242072963,0.4053869757927037,0.5948158253751705,0.5946130242072963,0.4015113350125944,0.5946130242072963,0.4014102241249055,0.4980621796099453,0.48332655551037
cardiomyopathy,any_meaning_drift,failure-topology-only,baseline failure/regime topology only,comparator,4918,1985,0.0416836112240748,36.19357462383083,89.67254408060454,0.5152501016673444,0.1228141520943472,0.1360381861575179,0.863961813842482,0.6605960264900662,0.1360381861575179,0.8967254408060453,0.1360381861575179,0.565169074456263,0.5163818134817816,0.5569337128914192
cardiomyopathy,any_meaning_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,4918,1985,0.0416836112240748,36.19357462383083,89.67254408060454,0.5152501016673444,0.1228141520943472,0.1360381861575179,0.863961813842482,0.6605960264900662,0.1360381861575179,0.8967254408060453,0.1360381861575179,0.565169074456263,0.5163818134817816,0.5569337128914192
cardiomyopathy,any_meaning_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,4918,1985,0.0416836112240748,36.19357462383083,89.67254408060454,0.5152501016673444,0.1228141520943472,0.1360381861575179,0.863961813842482,0.6605960264900662,0.1360381861575179,0.8967254408060453,0.1360381861575179,0.565169074456263,0.5163818134817816,0.5569337128914192
hereditary_cancer,any_meaning_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,20865,7970,0.3819793913251857,0.0,0.0,0.0,1.0,1.0,0.0,0.6180206086748142,1.0,0.0,1.0,,0.5,0.3819793913251857
hereditary_cancer,any_meaning_drift,metadata-only,baseline review/status/submitter metadata only,comparator,20865,7970,0.3819793913251857,0.0,0.0,0.0,1.0,1.0,0.0,0.6180206086748142,1.0,0.0,1.0,,0.5,0.3819793913251857
hereditary_cancer,any_meaning_drift,gene-only,gene identity only,comparator,20865,7970,0.0201294033069734,36.18499880182123,94.73023839397742,0.5771866762520969,0.0609633357296908,0.0660721209771229,0.9339278790228772,0.6698113207547169,0.0660721209771229,0.9473023839397742,0.0660721209771229,0.547835866923049,0.5066872524584486,0.5973160795590702
hereditary_cancer,any_meaning_drift,regime-only,baseline disease-model regime only,comparator,20865,7970,0.0599089384136113,32.207045291157435,84.31618569636134,0.4812365204888569,0.1966930265995686,0.2213260953858084,0.7786739046141915,0.6954191033138402,0.2213260953858084,0.8431618569636136,0.2213260953858084,0.5434474950467025,0.532243976174711,0.5411454589024682
