metric,value
cab_rows,942.0
alpha_raw_matches_before_resolution,225.0
rows_joined_by_hg38_coordinate,225.0
rows_high_confidence_join_and_hgvs_p_agreement,214.0
high_confidence_analysis_rate,0.2272
rows_multi_match_highest_score_selected,0.0
join_status__not_found_in_AlphaMissense_hg38,717.0
join_status__joined_high_confidence_genomic,225.0
