domain,variant,N,unsupported_reuse_rate,absolute_reduction_vs_baseline,relative_reduction_vs_baseline,overrestriction_rate,direct_use_allowed_rate,F1_nonportability_detection
all,CAB_full,26725,0.04797006548175865,0.8089055191768008,0.9440174672489083,0.0,0.19109448082319924,0.9712026595983647
all,CAB_without_gene,26725,0.04797006548175865,0.8089055191768008,0.9440174672489083,0.0,0.19109448082319924,0.9712026595983647
all,CAB_without_portability_score,26725,0.06989710009354537,0.7869784845650141,0.9184279475982533,0.0,0.21302151543498596,0.957479741418556
all,CAB_without_regime,26725,0.5748924228250701,0.28198316183348926,0.3290829694323144,0.0,0.7180168381665107,0.4952030490208963
all,CAB_without_temporal_risk_score,26725,0.04797006548175865,0.8089055191768008,0.9440174672489083,0.0,0.19109448082319924,0.9712026595983647
all,CAB_without_metadata,26725,0.04797006548175865,0.8089055191768008,0.9440174672489083,0.0,0.19109448082319924,0.9712026595983647
all,regime_only_routing,26725,0.06989710009354537,0.7869784845650141,0.9184279475982533,0.0,0.21302151543498596,0.957479741418556
all,portability_score_only_routing,26725,0.5748924228250701,0.28198316183348926,0.3290829694323144,0.0,0.7180168381665107,0.4952030490208963
all,metadata_only_routing,26725,0.8568755846585594,0.0,0.0,0.0,1.0,
all,gene_only_routing,26725,0.17717492984097288,0.6797006548175866,0.793231441048035,0.09051449953227315,0.22978484565014032,0.8354797166773986
cardiomyopathy,CAB_full,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,CAB_without_gene,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,CAB_without_portability_score,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,CAB_without_regime,4918,0.5126067507116714,0.4038226921512811,0.44064788107388514,0.0,0.596177307848719,0.6117357153858001
cardiomyopathy,CAB_without_temporal_risk_score,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,CAB_without_metadata,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,regime_only_routing,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.0,0.12281415209434729,0.9781203945130936
cardiomyopathy,portability_score_only_routing,4918,0.5126067507116714,0.4038226921512811,0.44064788107388514,0.0,0.596177307848719,0.6117357153858001
cardiomyopathy,metadata_only_routing,4918,0.9164294428629525,0.0,0.0,0.0,1.0,
cardiomyopathy,gene_only_routing,4918,0.7769418462789752,0.13948759658397725,0.1522076769469714,0.0,0.8605124034160228,0.26420181012901983
hereditary_cancer,CAB_full,20865,0.05123412413132039,0.8032111190989695,0.940038142248149,0.0,0.19678888090103044,0.9690924335733079
hereditary_cancer,CAB_without_gene,20865,0.05123412413132039,0.8032111190989695,0.940038142248149,0.0,0.19678888090103044,0.9690924335733079
hereditary_cancer,CAB_without_portability_score,20865,0.053199137311286844,0.801246105919003,0.9377383890509311,0.0,0.1987538940809969,0.9678689283853413
hereditary_cancer,CAB_without_regime,20865,0.6145698538221903,0.2398753894080996,0.2807381646847655,0.0,0.7601246105919003,0.43840056059212545
hereditary_cancer,CAB_without_temporal_risk_score,20865,0.05123412413132039,0.8032111190989695,0.940038142248149,0.0,0.19678888090103044,0.9690924335733079
hereditary_cancer,CAB_without_metadata,20865,0.05123412413132039,0.8032111190989695,0.940038142248149,0.0,0.19678888090103044,0.9690924335733079
hereditary_cancer,regime_only_routing,20865,0.053199137311286844,0.801246105919003,0.9377383890509311,0.0,0.1987538940809969,0.9678689283853413
hereditary_cancer,portability_score_only_routing,20865,0.6145698538221903,0.2398753894080996,0.2807381646847655,0.0,0.7601246105919003,0.43840056059212545
hereditary_cancer,metadata_only_routing,20865,0.8544452432302899,0.0,0.0,0.0,1.0,
hereditary_cancer,gene_only_routing,20865,0.030673376467768992,0.8237718667625209,0.9641014135068431,0.11526479750778816,0.06096333572969087,0.9186285775366773
inherited_arrhythmia,CAB_full,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,CAB_without_gene,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,CAB_without_portability_score,942,0.5997876857749469,0.0,0.0,0.0,1.0,
inherited_arrhythmia,CAB_without_regime,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,CAB_without_temporal_risk_score,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,CAB_without_metadata,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,regime_only_routing,942,0.5997876857749469,0.0,0.0,0.0,1.0,
inherited_arrhythmia,portability_score_only_routing,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.0,0.42144373673036095,0.9819819819819819
inherited_arrhythmia,metadata_only_routing,942,0.5997876857749469,0.0,0.0,0.0,1.0,
inherited_arrhythmia,gene_only_routing,942,0.2908704883227176,0.3089171974522293,0.5150442477876106,0.014861995753715499,0.6762208067940552,0.6689655172413793
