endpoint,cab_mode,metric,estimate,ci95_low,ci95_high,bootstrap_replicates,stratification,endpoint_class_balance_note
temporal_condition_label_drift,CAB-Strict,overrestriction_rate,0.5741905332086062,0.5683058933582787,0.5800187090739009,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Strict,direct_use_allowed_rate,0.0809015154349859,0.0776407857811038,0.0839298409728718,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Strict,true_portable_allowed_rate,0.0899302060257208,0.0856723605517146,0.0939229804034922,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Strict,absolute_reduction_vs_ClinVar_pp,34.49079513564079,33.90832553788587,35.06089803554724,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Strict,relative_reduction_vs_ClinVar_percent,93.45341631356432,92.9673071990702,93.90013796571256,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,unsupported_reuse_rate,0.074570364826941,0.071356407857811,0.0776426566884939,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,overrestriction_rate,0.4323399064546304,0.4270533208606174,0.4378681010289991,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,direct_use_allowed_rate,0.2731259494855005,0.2678755846585594,0.2784284377923293,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,true_portable_allowed_rate,0.3147198844739303,0.3079479244354332,0.3209987611638664,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,absolute_reduction_vs_ClinVar_pp,29.4534144059869,28.931618334892423,29.96492048643592,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
temporal_condition_label_drift,CAB-Balanced,relative_reduction_vs_ClinVar_percent,79.79711478949521,79.01688404871837,80.58948229418198,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,unsupported_reuse_rate,0.1446193826005612,0.1402806361085126,0.1490383536014967,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,overrestriction_rate,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,direct_use_allowed_rate,1.0,1.0,1.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,true_portable_allowed_rate,1.0,1.0,1.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,absolute_reduction_vs_ClinVar_pp,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,ClinVar-label-only,relative_reduction_vs_ClinVar_percent,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,unsupported_reuse_rate,0.144533208606174,0.1402797006548176,0.1488493919550982,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,overrestriction_rate,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,direct_use_allowed_rate,1.0,1.0,1.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,true_portable_allowed_rate,1.0,1.0,1.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,absolute_reduction_vs_ClinVar_pp,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,metadata-only,relative_reduction_vs_ClinVar_percent,0.0,0.0,0.0,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,unsupported_reuse_rate,0.0195651262862488,0.0180346117867165,0.0212535079513564,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,overrestriction_rate,0.6452768942937325,0.6402245088868102,0.6499915809167447,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,direct_use_allowed_rate,0.2298065481758653,0.2264162768942937,0.2329663236669784,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,true_portable_allowed_rate,0.2457479294919944,0.2418011444273202,0.249476982386648,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,absolute_reduction_vs_ClinVar_pp,12.491655753040224,12.101028999064546,12.905519176800748,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,gene-only,relative_reduction_vs_ClinVar_percent,86.45832184996188,85.37583970411647,87.45516401188445,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,regime-only,unsupported_reuse_rate,0.0106325537885874,0.0093919550982226,0.0118989710009354,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,regime-only,overrestriction_rate,0.65455659494855,0.6492011225444341,0.6600187090739008,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,regime-only,direct_use_allowed_rate,0.2115199625818522,0.2070318054256314,0.2156791393826005,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
