Component removed,model,endpoint,AUROC,AUROC_drop,AUPRC,AUPRC_drop,top10_enrichment,top10_enrichment_drop,top10_precision
none,baseline-only full model,E3_cross_environment_drift,0.8801182822449453,0.0,0.5861962846078471,0.0,4.085042660747326,0.0,0.6127946127946128
gene,minus gene,E3_cross_environment_drift,0.8650910023234832,0.015027279921462022,0.5269931357875772,0.05920314882026989,3.815699188610139,0.2693434721371868,0.5723905723905723
domain,minus domain,E3_cross_environment_drift,0.8800865149293646,3.176731558063306e-05,0.5863753123852317,-0.0001790277773845439,4.077560897632403,0.007481763114922657,0.611672278338945
baseline environment,minus baseline environment,E3_cross_environment_drift,0.8566088490542345,0.02350943319071075,0.5220385188293619,0.0641577657784852,3.6910031366947753,0.3940395240525505,0.5536849981294426
regime,minus regime,E3_cross_environment_drift,0.8775171946497736,0.002601087595171636,0.5703643707878168,0.015831913820030352,3.9354073984488886,0.14963526229843715,0.590347923681257
metadata,minus metadata,E3_cross_environment_drift,0.8801096788257412,8.603419204056273e-06,0.5861745502346499,2.1734373197190848e-05,4.0825487397090185,0.0024939210383072563,0.6124205013093902
baseline ontology,minus baseline ontology,E3_cross_environment_drift,0.8718206440421887,0.00829763820275653,0.5547757966332346,0.0314204879746125,3.7882660571887588,0.29677660355856705,0.5682753460531238
overlap flags,minus overlap flags,E3_cross_environment_drift,0.8801388107608383,-2.0528515893070143e-05,0.5861393879784029,5.689662944419194e-05,4.075066976594096,0.009975684153229913,0.6112981668537224
