endpoint,negative_control,control_family,real_CAB_metric,real_CAB_metric_value,null_mean,null_CI95_low,null_CI95_high,empirical_p,effect_over_null,pass_fail
condition_label_drift,permuted disease labels within gene,label_structure_control,gene+regime AUROC,0.7477641331134239,0.6382610934666442,0.6367997717134372,0.6397687096475396,0.0033222591362126247,0.10950303964677977,pass
condition_label_drift,permuted regimes within domain,regime_structure_control,gene+regime AUROC,0.7477641331134239,0.6456520762022151,0.645027894787694,0.6464311750125685,0.0033222591362126247,0.10211205691120884,pass
condition_label_drift,permuted regimes within gene/domain block,within_block_regime_control,gene+regime AUROC,0.7477641331134239,0.644817596024619,0.6439803800298604,0.6456577776552612,0.0033222591362126247,0.10294653708880497,pass
condition_label_drift,shuffled follow-up endpoints within domain,endpoint_exchangeability_control,gene+regime AUROC,0.7477641331134239,0.5004155652901907,0.493722314220848,0.507472454171056,0.0033222591362126247,0.24734856782323322,pass
condition_label_drift,same-gene random environment reassignment,environment_assignment_control,gene+regime AUROC,0.7477641331134239,0.583070431887945,0.5797983737563399,0.5870227162873355,0.0033222591362126247,0.16469370122547888,pass
condition_label_drift,metadata-only null: review status + submitter count,metadata_null,gene+regime AUROC,0.7477641331134239,0.49990360388377697,0.49990360388377697,0.49990360388377697,0.5,0.24786052922964696,pass
condition_label_drift,gene-frequency null: gene popularity only,gene_frequency_null,gene+regime AUROC,0.7477641331134239,0.46550596785439907,0.46550596785439907,0.46550596785439907,0.5,0.28225816525902486,pass
condition_label_drift,random regime labels preserving prevalence,global_regime_prevalence_control,gene+regime AUROC,0.7477641331134239,0.5049928046576359,0.501761182743014,0.5089456521642421,0.0033222591362126247,0.24277132845578808,pass
cross_environment_drift,permuted disease labels within gene,label_structure_control,gene+regime AUROC,0.7890089413791441,0.7752079589151246,0.7738016538606307,0.776796260234255,0.0033222591362126247,0.013800982464019507,pass
cross_environment_drift,permuted regimes within domain,regime_structure_control,gene+regime AUROC,0.7890089413791441,0.7747886107288533,0.7728533835683009,0.7761012268843168,0.0033222591362126247,0.014220330650290824,pass
cross_environment_drift,permuted regimes within gene/domain block,within_block_regime_control,gene+regime AUROC,0.7890089413791441,0.774743723457924,0.7736879972391384,0.7757830966202169,0.0033222591362126247,0.014265217921220152,pass
cross_environment_drift,shuffled follow-up endpoints within domain,endpoint_exchangeability_control,gene+regime AUROC,0.7890089413791441,0.5202260535982424,0.5117438324190435,0.5311488320688235,0.0033222591362126247,0.26878288778090176,pass
cross_environment_drift,same-gene random environment reassignment,environment_assignment_control,gene+regime AUROC,0.7890089413791441,0.7196470609722331,0.7159140247341176,0.7233333704349928,0.0033222591362126247,0.06936188040691105,pass
cross_environment_drift,metadata-only null: review status + submitter count,metadata_null,gene+regime AUROC,0.7890089413791441,0.49981843587722463,0.49981843587722463,0.49981843587722463,0.5,0.2891905055019195,pass
cross_environment_drift,gene-frequency null: gene popularity only,gene_frequency_null,gene+regime AUROC,0.7890089413791441,0.46270959389806865,0.46270959389806865,0.46270959389806865,0.5,0.3262993474810755,pass
cross_environment_drift,random regime labels preserving prevalence,global_regime_prevalence_control,gene+regime AUROC,0.7890089413791441,0.5070146754575935,0.5025241224666823,0.5132255926808926,0.0033222591362126247,0.28199426592155064,pass
semantic_drift_without_reclassification,permuted disease labels within gene,label_structure_control,gene+regime AUROC,0.7477641331134239,0.6382156595253345,0.6368748984639598,0.6396922943842286,0.0033222591362126247,0.10954847358808939,pass
semantic_drift_without_reclassification,permuted regimes within domain,regime_structure_control,gene+regime AUROC,0.7477641331134239,0.6456542012150707,0.6450863449650232,0.6464055890876975,0.0033222591362126247,0.10210993189835327,pass
semantic_drift_without_reclassification,permuted regimes within gene/domain block,within_block_regime_control,gene+regime AUROC,0.7477641331134239,0.6448227361388638,0.6438431116748075,0.645513793358444,0.0033222591362126247,0.10294139697456017,pass
semantic_drift_without_reclassification,shuffled follow-up endpoints within domain,endpoint_exchangeability_control,gene+regime AUROC,0.7477641331134239,0.5005033338387892,0.49366214900722283,0.5075680176045819,0.0033222591362126247,0.24726079927463473,pass
semantic_drift_without_reclassification,same-gene random environment reassignment,environment_assignment_control,gene+regime AUROC,0.7477641331134239,0.5833268845022915,0.5797777289214486,0.5868072479731808,0.0033222591362126247,0.1644372486111324,pass
semantic_drift_without_reclassification,metadata-only null: review status + submitter count,metadata_null,gene+regime AUROC,0.7477641331134239,0.49990360388377697,0.49990360388377697,0.49990360388377697,0.5,0.24786052922964696,pass
semantic_drift_without_reclassification,gene-frequency null: gene popularity only,gene_frequency_null,gene+regime AUROC,0.7477641331134239,0.46550596785439907,0.46550596785439907,0.46550596785439907,0.5,0.28225816525902486,pass
