endpoint_family,endpoint,source,N,positive_N,positive_rate,gene_only_comparator_AUROC,metadata_only_comparator_AUROC,regime_only_comparator_AUROC,gene_plus_regime_comparator_AUROC,CAB_relevant_signal,CAB_Balanced_routing_performance,CAB_Balanced_unsupported_reuse_rate,CAB_Strict_unsupported_reuse_rate,claim_supported,limitation
temporal condition-label drift,condition_label_drift,three_domain_benchmark_2023-01_to_2026-04,26725,9868,0.3692422825070159,0.6453539121938447,0.49990360388377697,0.6688244487915577,0.7477641331134239,gene+regime AUROC and CAB-Balanced nonportability recall,0.7980340494527767,0.07457436856875585,0.024172123479887744,supports endpoint triangulation,retrospective benchmark endpoint; claim boundary in QC
cross-environment disease-model drift,cross_environment_drift,three_domain_benchmark_2023-01_to_2026-04,26725,3863,0.14454630495790458,0.7801012764337152,0.49981843587722463,0.565052222869117,0.7890089413791441,gene+regime AUROC and CAB-Balanced nonportability recall,0.8110276986797825,0.027315247895229187,0.0016838166510757717,supports endpoint triangulation,retrospective benchmark endpoint; claim boundary in QC
semantic drift without reclassification,semantic_drift_without_reclassification,three_domain_benchmark_2023-01_to_2026-04,26725,9868,0.3692422825070159,0.6453539121938447,0.49990360388377697,0.6688244487915577,0.7477641331134239,gene+regime AUROC and CAB-Balanced nonportability recall,0.7980340494527767,0.07457436856875585,0.024172123479887744,supports endpoint triangulation,retrospective benchmark endpoint; claim boundary in QC
conservative composite non-portability,conservative_composite_non_portability,three_domain_benchmark_2023-01_to_2026-04,26725,10063,0.37653882132834426,0.6466415316550982,0.4999043655506857,0.6750995823896776,0.7543503356533588,gene+regime AUROC and CAB-Balanced nonportability recall,0.7902216038954586,0.07898971000935454,0.02989710009354537,supports endpoint triangulation,retrospective benchmark endpoint; claim boundary in QC
identity-vs-meaning discordance,identity_vs_meaning_discordance,three_domain_benchmark_2023-01_to_2026-04,26725,304,0.01137511693171188,0.993193462536778,0.4986690710539264,0.8678793433851462,0.9961780924862399,gene+regime AUROC and CAB-Balanced nonportability recall,0.6052631578947368,0.004490177736202058,0.006248830682881197,supports endpoint triangulation,retrospective benchmark endpoint; claim boundary in QC
curation-action endpoint,curation_action_endpoint,three_domain_benchmark_2023-01_to_2026-04,26725,0,0.0,,,,,gene+regime AUROC and CAB-Balanced nonportability recall,,0.0,0.0,available but not positive-support endpoint,zero or sparse endpoint events in current materialized benchmark
rolling-origin future cross-environment drift,future_cross_environment_drift,cab_10yr_predictor_repair_package,218621,7669,0.035663545454545455,0.5780641818181818,0.7350079999999999,0.6998150909090909,0.7163987272727271,held-out rolling-origin gene+regime AUROC,,,,supports independent temporal prediction,aggregate package metrics; row-level modifier matrices not included
external comparator endpoint,VCEP-covered gene among disease-specific review cases,ClinGen/VCEP gene-level comparator mapping,26725,19105,0.7148737137511694,,,,,OR=0.486,,,,external comparator mapped; VCEP enrichment not supported in current gene-scope test,"gene-level comparator, not variant-level validation; direction must be interpreted from the OR"
