system,N,true_direct_use_allowed,false_direct_use_unsupported_deterministic_reuse,true_restriction,false_restriction_overrestriction,sensitivity_recall_nonportability_detection,specificity_allowing_portable_assertions,precision_PPV_direct_use_decisions,NPV_restriction_decisions,false_portable_rate,overrestriction_rate,direct_use_allowed_rate,F1_nonportability_detection,domain
ClinVar_label_only_baseline,26725,3825,22900,0,0,0.0,1.0,0.1431244153414406,,0.8568755846585594,0.0,1.0,,all
CAB,26725,3825,3474,19426,0,0.848296943231441,1.0,0.5240443896424167,1.0,0.1299906454630496,0.0,0.27311506080449016,0.9179227897746066,all
ClinVar_label_only_baseline,4918,411,4507,0,0,0.0,1.0,0.08357055713704759,,0.9164294428629525,0.0,1.0,,cardiomyopathy
CAB,4918,411,193,4314,0,0.9571777235411582,1.0,0.6804635761589404,1.0,0.03924359495729972,0.0,0.12281415209434729,0.9781203945130936,cardiomyopathy
ClinVar_label_only_baseline,20865,3037,17828,0,0,0.0,1.0,0.14555475676971005,,0.8544452432302899,0.0,1.0,,hereditary_cancer
CAB,20865,3037,3261,14567,0,0.8170854835090868,1.0,0.48221657669101303,1.0,0.1562904385334292,0.0,0.30184519530313925,0.8993363173329217,hereditary_cancer
ClinVar_label_only_baseline,942,377,565,0,0,0.0,1.0,0.4002123142250531,,0.5997876857749469,0.0,1.0,,inherited_arrhythmia
CAB,942,377,20,545,0,0.9646017699115044,1.0,0.9496221662468514,1.0,0.021231422505307854,0.0,0.42144373673036095,0.9819819819819819,inherited_arrhythmia
