endpoint,endpoint_role,source,N,modifier_N,non_modifier_N,modifier_endpoint_N,non_modifier_endpoint_N,modifier_endpoint_rate,non_modifier_endpoint_rate,rate_difference_modifier_minus_nonmodifier,crude_OR_Haldane_Anscombe,crude_OR_CI95_low,crude_OR_CI95_high,firth_logistic_OR,firth_status,penalized_logistic_OR,penalized_logistic_status,domain_stratified_Mantel_Haenszel_OR,domain_strata_informative_N,gene_domain_stratified_Mantel_Haenszel_OR,gene_domain_strata_informative_N,gene_cluster_bootstrap_CI95_low,gene_cluster_bootstrap_CI95_high,gene_cluster_bootstrap_status,origin_cluster_bootstrap_CI95_low,origin_cluster_bootstrap_CI95_high,origin_cluster_bootstrap_status,Fisher_exact_p_descriptive_only,publication_interpretation
future_cross_environment_drift,primary,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,2347,1516,0.14555038759689923,0.1430188679245283,0.002531519672370919,1.0206157710623502,0.9518108768561204,1.0943944616201908,,not_available_in_current_python_stack,1.0192667112826586,L2-penalized logistic fallback; Firth unavailable,0.6128089185883567,1,0.5051798037247874,18,0.752671644572469,1.548146083905736,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.5694275402522022,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
condition_label_drift,secondary,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,4284,5584,0.2656744186046512,0.5267924528301887,-0.26111803422553753,0.3250198976107356,0.3086378211945966,0.34227151239603965,,not_available_in_current_python_stack,0.3252599419323928,L2-penalized logistic fallback; Firth unavailable,0.15505447175069673,1,0.12905331582631516,18,0.2001054499769185,0.5370410758710698,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.0,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
any_meaning_drift,secondary,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,4625,5695,0.2868217054263566,0.5372641509433962,-0.2504424455170396,0.34641236604313247,0.32912006537861155,0.36461322165075044,,not_available_in_current_python_stack,0.3466552875745094,L2-penalized logistic fallback; Firth unavailable,0.16772275297328915,1,0.145258601949252,18,0.21275905962734848,0.585598306260989,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.0,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
semantic_drift_without_reclassification,secondary,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,4284,5584,0.2656744186046512,0.5267924528301887,-0.26111803422553753,0.3250198976107356,0.3086378211945966,0.34227151239603965,,not_available_in_current_python_stack,0.3252599419323928,L2-penalized logistic fallback; Firth unavailable,0.15505447175069673,1,0.12905331582631516,18,0.2001054499769185,0.5370410758710698,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.0,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
self_loop_stable_inverse,secondary_inverse,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,4625,5695,0.2868217054263566,0.5372641509433962,-0.2504424455170396,0.34641236604313247,0.32912006537861155,0.36461322165075044,,not_available_in_current_python_stack,0.3466552875745094,L2-penalized logistic fallback; Firth unavailable,0.16772275297328915,1,0.145258601949252,18,0.21275905962734848,0.585598306260989,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.0,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
classification_stable_meaning_drift,secondary,three_domain_benchmark_2023-01_to_2026-04,26725,16125,10600,4625,5695,0.2868217054263566,0.5372641509433962,-0.2504424455170396,0.34641236604313247,0.32912006537861155,0.36461322165075044,,not_available_in_current_python_stack,0.3466552875745094,L2-penalized logistic fallback; Firth unavailable,0.16772275297328915,1,0.145258601949252,18,0.21275905962734848,0.585598306260989,1000_gene_cluster_bootstrap,,,not_estimated_1_origin_id_cluster,0.0,"eligible independent temporal endpoint; interpret as temporal portability evidence, not routing-defined biological effect-size magnitude"
