external_proxy_agreement_label,domain,N
ambiguous,hereditary_cancer,1
ambiguous,inherited_arrhythmia,1
external_proxy_agrees_direct_use,cardiomyopathy,9
external_proxy_agrees_direct_use,hereditary_cancer,119
external_proxy_agrees_direct_use,inherited_arrhythmia,10
external_proxy_requires_disease_specific_interpretation,cardiomyopathy,55
external_proxy_requires_disease_specific_interpretation,hereditary_cancer,300
external_proxy_requires_disease_specific_interpretation,inherited_arrhythmia,5
