Component removed,model,endpoint,AUROC,AUROC_drop,AUPRC,AUPRC_drop,top10_enrichment,top10_enrichment_drop,unsupported_reuse_increase_proxy
none,full model,E3_cross_environment_drift,0.9987552768552849,0.0,0.9988979076125242,0.0,6.666250935395361,0.0,0.0
gene,minus gene,E3_cross_environment_drift,0.9987608770388127,-5.6001835277985634e-06,0.9989192643521227,-2.135673959857698e-05,6.666250935395361,0.0,0.0
domain,minus domain,E3_cross_environment_drift,0.9987565725840226,-1.29572873774908e-06,0.9988941728349969,3.7347775272422723e-06,6.666250935395361,0.0,0.0
baseline environment,minus baseline environment,E3_cross_environment_drift,0.9987546509524199,6.259028649813203e-07,0.9988900687329515,7.838879572674706e-06,6.666250935395361,0.0,0.0
regime,minus regime,E3_cross_environment_drift,0.9987664882030927,-1.1211347807793537e-05,0.998934239586351,-3.633197382679754e-05,6.666250935395361,0.0,0.0
metadata,minus metadata,E3_cross_environment_drift,0.998755419605061,-1.4274977611083983e-07,0.998908355437343,-1.0447824818848872e-05,6.666250935395361,0.0,0.0
ontology,minus ontology,E3_cross_environment_drift,0.8699250642736358,0.12883021258164906,0.5508016718470332,0.44809623576549096,3.763326846805686,2.9029240885896748,-0.43546576879910215
condition specificity,minus condition specificity,E3_cross_environment_drift,0.9987497425562688,5.534299016063393e-06,0.998892789144715,5.118467809150928e-06,6.666250935395361,0.0,0.0
overlap flags,minus overlap flags,E3_cross_environment_drift,0.9987604158472281,-5.138991943209881e-06,0.9989244699133037,-2.6562300779575665e-05,6.666250935395361,0.0,0.0
