domain,N,direct_use_allowed_rate,contextual_repair_rate,disease_specific_review_rate,population_or_penetrance_review_rate,no_deterministic_reuse_rate,still_allowed_direct_use_rate,conservative_flag
all,26725,0.27311506080449016,0.8089055191768008,0.7148737137511694,0.11217960710944808,0.7268849391955098,0.27311506080449016,not_conservative_by_threshold
cardiomyopathy,4918,0.12281415209434729,0.8771858479056527,0.8771858479056527,0.0,0.8771858479056527,0.12281415209434729,not_conservative_by_threshold
hereditary_cancer,20865,0.30184519530313925,0.8032111190989696,0.6924994009106159,0.14368559789120536,0.6981548046968608,0.30184519530313925,not_conservative_by_threshold
inherited_arrhythmia,942,0.42144373673036095,0.578556263269639,0.3630573248407643,0.0,0.578556263269639,0.42144373673036095,not_conservative_by_threshold
