left_out_domain,endpoint,train_N,test_N,heldout_AUROC,heldout_AUPRC,CAB_Balanced_unsupported_reuse,direct_use_allowed_rate,status
hereditary_cancer,condition_label_drift,5860,20865,0.6646242631538826,0.5108447756095817,0.08531032830098251,0.30184519530313925,evaluated
cardiomyopathy,condition_label_drift,21807,4918,0.44695306292572845,0.37272751970288875,0.03924359495729972,0.12281415209434729,evaluated
inherited_arrhythmia,condition_label_drift,25783,942,0.5410246670306974,0.4379059758627381,0.021231422505307854,0.42144373673036095,evaluated
hereditary_cancer,cross_environment_drift,5860,20865,0.5465548830437957,0.17887145720217168,0.03402827701893123,0.30184519530313925,evaluated
cardiomyopathy,cross_environment_drift,21807,4918,0.5929683884456083,0.12531772223546847,0.004066693777958519,0.12281415209434729,evaluated
inherited_arrhythmia,cross_environment_drift,25783,942,,,0.0,0.42144373673036095,single_class_endpoint
hereditary_cancer,any_meaning_drift,5860,20865,0.6557587025404982,0.5178429714363034,0.09954469206805655,0.30184519530313925,evaluated
cardiomyopathy,any_meaning_drift,21807,4918,0.439697921935828,0.38663315239758056,0.04168361122407483,0.12281415209434729,evaluated
inherited_arrhythmia,any_meaning_drift,25783,942,0.5410246670306974,0.4379059758627381,0.021231422505307854,0.42144373673036095,evaluated
