boundary_drift_class,N,percent,condition_label_drift_rate,cross_environment_drift_rate,any_meaning_drift_rate,dominant_regimes,dominant_domains,example_genes
syndrome_to_organ,12368,0.46278765201122546,0.3480756791720569,0.1872574385510996,0.356888745148771,modifier_penetrance_boundary:11842|syndrome_organ_boundary:408|nonspecific_underresolved:118,hereditary_cancer:11842|inherited_arrhythmia:505|cardiomyopathy:21,BRCA2:2137|ATM:1739|BRCA1:1612|MSH2:1229|MLH1:1010|MSH6:935|APC:570|PTEN:443
nonspecific_underresolved,5532,0.20699719363891486,0.663412870571222,0.19902386117136658,0.6704627621113521,nonspecific_underresolved:5532,hereditary_cancer:4740|cardiomyopathy:688|inherited_arrhythmia:104,BRCA2:1208|BRCA1:874|ATM:464|MSH6:329|MYBPC3:328|APC:297|MSH2:291|PALB2:275
synonym/refinement drift,4686,0.17534144059869036,0.0,0.0,0.05356380708493384,modifier_penetrance_boundary:4149|phenotype_anchored_monogenic:517|trigger_dependent_latent:14|pleiotropic_collision:6,hereditary_cancer:4149|cardiomyopathy:517|inherited_arrhythmia:20,BRCA1:1195|BRCA2:1041|APC:460|CHEK2:254|PALB2:242|MYBPC3:239|MSH2:215|MSH6:168
structural_electrical_boundary,3692,0.13814780168381666,0.42443120260021666,0.09913326110509209,0.4385157096424702,structural_functional_overlap:2127|nonspecific_underresolved:1561|pleiotropic_collision:4,cardiomyopathy:3453|inherited_arrhythmia:239,TTN:2137|DSP:434|LMNA:346|FLNC:257|PKP2:251|SCN5A:128|RYR2:111|DES:28
broad_to_specific,223,0.008344246959775491,0.45739910313901344,0.13004484304932734,0.4618834080717489,phenotype_anchored_monogenic:165|nonspecific_underresolved:42|trigger_dependent_latent:16,cardiomyopathy:165|inherited_arrhythmia:58,MYBPC3:113|KCNH2:33|MYH7:19|BAG3:16|TRDN:8|CASQ2:7|KCNQ1:6|DSC2:6
within_environment_label_drift,173,0.0064733395696913,1.0,0.0,1.0,modifier_penetrance_boundary:98|phenotype_anchored_monogenic:59|trigger_dependent_latent:15|pleiotropic_collision:1,hereditary_cancer:98|cardiomyopathy:59|inherited_arrhythmia:16,MLH1:31|MYBPC3:28|BRCA2:22|BRCA1:17|MYH7:12|BAG3:9|APC:9|TRDN:8
cross_environment_boundary_drift,51,0.0019083255378858747,1.0,1.0,1.0,modifier_penetrance_boundary:36|phenotype_anchored_monogenic:15,hereditary_cancer:36|cardiomyopathy:15,BRCA1:14|MYBPC3:9|MLH1:8|BRCA2:7|PALB2:3|MYH7:2|ACTN2:2|ATM:2
