endpoint,model,N,positive_N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10
E3_cross_environment_drift,baseline condition specificity only,26725,4009,0.1500093545369504,0.5219617895305206,0.15320378349327252,0.12745386879532467,0.13580246913580246,0.09054627089049638,0.9052933369055428,7.363636363636364
E3_cross_environment_drift,baseline environment only,26725,4009,0.1500093545369504,0.8192870408546784,0.3666475157209697,0.1043053072155736,0.39094650205761317,0.26066350710900477,2.606147485031108,2.557894736842105
E3_cross_environment_drift,baseline ontology-like combined,26725,4009,0.1500093545369504,0.8533248135874596,0.4578192891311014,0.09703411867098753,0.512532734754957,0.3417311050137191,3.4166718224809745,1.9510948905109489
E3_cross_environment_drift,CAB regime only,26725,4009,0.1500093545369504,0.5710764642031217,0.1771277248598819,0.12594904083966407,0.1937897493453049,0.12920927912197555,1.2918510978431714,5.16023166023166
E3_cross_environment_drift,gene + baseline ontology,26725,4009,0.1500093545369504,0.8769470575340016,0.559886204499328,0.08950762420329415,0.5982042648709316,0.3988525816911948,3.987779740253342,1.671669793621013
E3_cross_environment_drift,gene + baseline ontology + CAB,26725,4009,0.1500093545369504,0.8795912665423382,0.5784967817995416,0.08788525877721028,0.6015712682379349,0.4010975305562484,4.010225029598107,1.662313432835821
E4_proxy_adjudicated_true_shift,baseline condition specificity only,26725,4003,0.14978484565014033,0.5214550655092476,0.15174750680484184,0.12730988380845004,0.12757201646090535,0.08518611041718711,0.8517017586604285,7.838709677419355
E4_proxy_adjudicated_true_shift,baseline environment only,26725,4003,0.14978484565014033,0.8194624210523561,0.3668716727841723,0.10413381194625582,0.3995510662177329,0.2667999000749438,2.667499936215066,2.502808988764045
E4_proxy_adjudicated_true_shift,baseline ontology-like combined,26725,4003,0.14978484565014033,0.8528433245526202,0.4556512168471433,0.09696639338272348,0.5065469509913955,0.3382463152635523,3.3818304434786515,1.9741506646971934
E4_proxy_adjudicated_true_shift,CAB regime only,26725,4003,0.14978484565014033,0.5712270402866365,0.1766309772391651,0.12580296808660246,0.19229330340441453,0.1284036972270797,1.2837967857814083,5.200389105058365
E4_proxy_adjudicated_true_shift,gene + baseline ontology,26725,4003,0.14978484565014033,0.876289970269855,0.5576831749830073,0.08951186511548191,0.5940890385334829,0.3967024731451411,3.966282676694312,1.683249370277078
E4_proxy_adjudicated_true_shift,gene + baseline ontology + CAB,26725,4003,0.14978484565014033,0.879185139575914,0.5779087972341955,0.08789725159480814,0.6105499438832772,0.407694229328004,4.076179677811787,1.6378676470588236
proxy_true_plus_uncertain,baseline condition specificity only,26725,5789,0.2166136576239476,0.6232020611409527,0.30916678399112674,0.16409373847800368,0.38121960344182565,0.17602349283123164,1.7599056662606307,2.6231599607458294
proxy_true_plus_uncertain,baseline environment only,26725,5789,0.2166136576239476,0.7811120506899984,0.46338828750844246,0.13872453641125132,0.5151515151515151,0.23786491622041803,2.3782042222187325,1.9411764705882353
proxy_true_plus_uncertain,baseline ontology-like combined,26725,5789,0.2166136576239476,0.8017070945034108,0.510271928660401,0.1348582958521296,0.6438458660680882,0.29728795992399376,2.972323505038808,1.5531667635095876
proxy_true_plus_uncertain,CAB regime only,26725,5789,0.2166136576239476,0.6103589446945649,0.287401899786103,0.16379741294967,0.3269734380845492,0.15097598894455,1.5094774801882151,3.0583524027459954
proxy_true_plus_uncertain,gene + baseline ontology,26725,5789,0.2166136576239476,0.8229013453829429,0.5796900263906175,0.12760244937428047,0.6442199775533108,0.2974607013301088,2.9740505959772383,1.5522648083623694
proxy_true_plus_uncertain,gene + baseline ontology + CAB,26725,5789,0.2166136576239476,0.839302121253906,0.6250123784939793,0.1216622908719346,0.7497194163860831,0.3461737778545517,3.4610902406146264,1.3338323353293413
