subset,N,condition_label_drift_N,condition_label_drift_rate,cross_environment_drift_N,cross_environment_drift_rate,any_meaning_drift_N,any_meaning_drift_rate,unsupported_reuse_ClinVar_baseline_N_temporal,unsupported_reuse_ClinVar_baseline_rate_temporal,unsupported_reuse_ClinVar_baseline_N_cross_environment,unsupported_reuse_ClinVar_baseline_rate_cross_environment,unsupported_reuse_CAB_Balanced_N_temporal,unsupported_reuse_CAB_Balanced_rate_temporal,unsupported_reuse_CAB_Balanced_N_cross_environment,unsupported_reuse_CAB_Balanced_rate_cross_environment,CAB_Balanced_direct_use_allowed_N,CAB_Balanced_direct_use_allowed_rate,review_repair_routing_N,review_repair_routing_rate
full_benchmark,26725,9868,0.3692422825070159,3863,0.14454630495790458,10320,0.386155285313377,9868,0.3692422825070159,3863,0.14454630495790458,1993,0.07457436856875585,730,0.027315247895229187,7299,0.27311506080449016,21738,0.8133956969130028
excluding_304_meaning_rejected,26421,9759,0.3693652776200749,3863,0.14620945460050716,10211,0.3864728814200825,9759,0.3693652776200749,3863,0.14620945460050716,1991,0.07535672381817493,730,0.027629537110631694,7179,0.2717156807085273,21434,0.8112486279853147
meaning_rejected_only,304,109,0.35855263157894735,0,0.0,109,0.35855263157894735,109,0.35855263157894735,0,0.0,2,0.006578947368421052,0,0.0,120,0.39473684210526316,304,1.0
