discordance_taxon,N,percent,example_VariationIDs,example_gene,example_phenotype
non_domain_phenotype,9,0.029605263157894735,374130|1693182|982634|915531|985336,SCN5A|RYR2|ANK2|HCN4|CACNA1C,Syncope|Arrhythmogenic right ventricular cardiomyopathy|Arrhythmogenic right ventricular dysplasia 2
syndromic_non_arrhythmia,16,0.05263157894736842,1334090|638351|1707563|983505|517664,CACNA1C|KCNJ2|KCNQ1|SCN5A|HCN4,Timothy syndrome|Andersen Tawil syndrome|Timothy syndrome|not provided
developmental_or_imprinting_label,16,0.05263157894736842,1802180|977320|1334346|1803055|1705745,CACNA2D1|KCNQ1|ANK2|CACNA1C,Developmental and epileptic encephalopathy 110|Silver-Russell syndrome 1|not provided|ANK2-related epilepsy
broad_or_unknown_phenotype,206,0.6776315789473685,378906|373047|1214434|1457006|1208780,KCNQ1|KCNH2|SCN5A|ANK2|TRDN,not provided|not provided|Cardiovascular phenotype|not specified
condition_label_mismatch,57,0.1875,1787905|523705|1743359|519257|1791538,KCNQ1|KCNH2|SCN5A|TRDN|RYR2,Cardiovascular phenotype
