endpoint,policy,workload_fraction,recall,precision,enrichment_over_random
cross_environment_drift,random review,0.01,0.008542583484338596,0.12313432835820895,0.8518677000707052
cross_environment_drift,random review,0.02,0.01760289930106135,0.12710280373831775,0.8793223996651676
cross_environment_drift,random review,0.03,0.02743981361636034,0.13216957605985039,0.9143753352833295
cross_environment_drift,random review,0.04,0.04038312192596428,0.14593077642656688,1.009578048149107
cross_environment_drift,random review,0.05,0.050478902407455346,0.14584891548242335,1.0090117179051938
cross_environment_drift,random review,0.060000000000000005,0.06264561221848304,0.15087281795511223,1.0437680714083288
cross_environment_drift,random review,0.06999999999999999,0.07196479420139788,0.14858364510956706,1.0279311197393683
cross_environment_drift,random review,0.08,0.08542583484338596,0.15434985968194576,1.0678229355423248
cross_environment_drift,random review,0.09,0.09785141082060575,0.1571072319201995,1.0868989834499954
cross_environment_drift,random review,0.09999999999999999,0.1105358529640176,0.15974560419004863,1.1051517659795624
cross_environment_drift,random review,0.11,0.12166709811027698,0.1598639455782313,1.1059704751690995
cross_environment_drift,random review,0.12,0.13357494175511261,0.16089803554724041,1.1131245146259385
cross_environment_drift,random review,0.13,0.1444473207351799,0.16057553956834533,1.1108934234957364
cross_environment_drift,random review,0.14,0.1542842350504789,0.15927311598075894,1.1018829988573084
cross_environment_drift,random review,0.15000000000000002,0.16334455086720165,0.1573958593165378,1.0888957650102182
cross_environment_drift,random review,0.16,0.17318146518250066,0.15645463049579045,1.082384157390629
cross_environment_drift,random review,0.17,0.18379497799637587,0.15625,1.080968483044266
cross_environment_drift,random review,0.18000000000000002,0.19259642764690654,0.15464560382456868,1.0698689521645348
cross_environment_drift,random review,0.19,0.2026922081283976,0.15419456478928711,1.0667485746812577
cross_environment_drift,random review,0.2,0.21123479161273623,0.15266604303086997,1.056173958063681
cross_environment_drift,random review,0.21000000000000002,0.2187419104323065,0.15054338143595225,1.0414889642443241
cross_environment_drift,random review,0.22,0.22754336008283718,0.14948979591836734,1.0342000507166367
cross_environment_drift,random review,0.23,0.23738027439813617,0.14917846103790466,1.0320461742785405
cross_environment_drift,random review,0.24000000000000002,0.24592285788247475,0.1480904130943102,1.0245188428541134
