domain_group,endpoint,N,endpoint_rate,threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.0,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.01,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.02,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.03,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.04,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.05,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.06,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.07,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.08,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.09,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.1,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.11,0.0,0.6356578001437815,0.0,0.0,1.0,dominated
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.12,0.0,0.6355140186915887,0.00014378145219266715,0.00022619316896629722,0.9998562185478074,frontier
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.13,0.0006709801102324467,0.6312964294272706,0.0050323508267433505,0.0068611927919776826,0.9949676491732566,frontier
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.14,0.0015336688233884496,0.6263120057512581,0.010879463215911813,0.01470255598280932,0.9891205367840882,frontier
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.15,0.001821231727773784,0.6252576084351785,0.012221423436376708,0.016361305888562164,0.9877785765636233,frontier
hereditary_cancer,conservative_composite_non_portability,20865,0.3643421998562186,direct-use threshold,0.16,0.004169662113587347,0.6088665228852145,0.030960939372154325,0.042147327150720046,0.9690390606278457,frontier
