endpoint,policy,budget,reviewed_N,positives_captured,precision_at_budget,recall_at_budget,enrichment_over_random,number_needed_to_review,workload_to_capture_25pct_future_drift,workload_to_capture_50pct_future_drift,workload_to_capture_75pct_future_drift,unsupported_reuse_avoided_per_100_reviewed,direct_use_preserved_per_100_assertions
cross_environment_drift,random review,0.01,268,33,0.12313432835820895,0.008542583484338596,0.8518677000707052,8.121212121212121,0.24329279700654818,0.491711880261927,0.7420767072029935,0.0,27.03086997193639
cross_environment_drift,random review,0.05,1337,195,0.14584891548242335,0.050478902407455346,1.0090117179051938,6.856410256410256,0.24329279700654818,0.491711880261927,0.7420767072029935,0.13026105245187714,25.8821328344247
cross_environment_drift,random review,0.1,2673,427,0.15974560419004863,0.1105358529640176,1.1051517659795624,6.259953161592506,0.24329279700654818,0.491711880261927,0.7420767072029935,1.5199299232144052,24.452759588400376
cross_environment_drift,random review,0.2,5345,816,0.15266604303086997,0.21123479161273623,1.056173958063681,6.550245098039215,0.24329279700654818,0.491711880261927,0.7420767072029935,0.8119738072965399,21.8821328344247
cross_environment_drift,random review,0.3,8018,1164,0.1451733599401347,0.3013202174475796,1.0043380907067305,6.8883161512027495,0.24329279700654818,0.491711880261927,0.7420767072029935,0.06270549822301186,19.150608044901777
cross_environment_drift,gene-only priority,0.01,268,101,0.376865671641791,0.026145482785399948,2.6072314456709464,2.6534653465346536,0.08,0.176688493919551,0.3986903648269411,23.231936668388645,26.903648269410663
cross_environment_drift,gene-only priority,0.05,1337,586,0.43829468960359014,0.1516955733885581,3.032209572781762,2.281569965870307,0.08,0.176688493919551,0.3986903648269411,29.374838464568555,25.036482694106642
cross_environment_drift,gene-only priority,0.1,2673,1168,0.4369622147399925,0.3023556821123479,3.022991247456977,2.2885273972602738,0.08,0.176688493919551,0.3986903648269411,29.241590978208798,23.16183348924228
cross_environment_drift,gene-only priority,0.2,5345,2048,0.38316183348924227,0.5301579083613772,2.650789541806886,2.60986328125,0.08,0.176688493919551,0.3986903648269411,23.86155285313377,18.993451824134706
cross_environment_drift,gene-only priority,0.3,8018,2566,0.32002993265153407,0.6642505824488739,2.21403053329336,3.1247077162899455,0.08,0.176688493919551,0.3986903648269411,17.54836276936295,13.766136576239477
cross_environment_drift,metadata-only priority,0.01,268,26,0.09701492537313433,0.006730520320994046,0.6711684909647981,10.307692307692307,0.2011599625818522,0.4906641721234799,0.674200187090739,0.0,26.649204864359216
cross_environment_drift,metadata-only priority,0.05,1337,195,0.14584891548242335,0.050478902407455346,1.0090117179051938,6.856410256410256,0.2011599625818522,0.4906641721234799,0.674200187090739,0.13026105245187714,24.310570626753975
cross_environment_drift,metadata-only priority,0.1,2673,532,0.19902731013842126,0.13771680041418585,1.3769103969581435,5.024436090225564,0.2011599625818522,0.4906641721234799,0.674200187090739,5.448100518051668,24.018709073900844
cross_environment_drift,metadata-only priority,0.2,5345,965,0.18054256314312442,0.24980585037535594,1.2490292518767798,5.538860103626943,0.2011599625818522,0.4906641721234799,0.674200187090739,3.599625818521984,21.990645463049578
cross_environment_drift,metadata-only priority,0.3,8018,1303,0.16250935395360439,0.33730261454827853,1.1242719348718813,6.153491941673062,0.2011599625818522,0.4906641721234799,0.674200187090739,1.7963048995699809,18.484565014031805
cross_environment_drift,regime-only priority,0.01,268,84,0.31343283582089554,0.02174475796013461,2.1683905092708864,3.1904761904761902,0.19221702525724976,0.4295977549111319,0.6746492048643592,16.888653086299097,26.985968194574365
cross_environment_drift,regime-only priority,0.05,1337,255,0.1907255048616305,0.06601087237898007,1.3194768618760226,5.243137254901961,0.19221702525724976,0.4295977549111319,0.6746492048643592,4.617919990372593,26.402245088868103
cross_environment_drift,regime-only priority,0.1,2673,500,0.18705574261129818,0.12943308309603935,1.2940887189456236,5.346,0.19221702525724976,0.4295977549111319,0.6746492048643592,4.25094376533936,25.466791393826004
cross_environment_drift,regime-only priority,0.2,5345,1000,0.18709073900841908,0.2588661661920787,1.2943308309603936,5.345,0.19221702525724976,0.4295977549111319,0.6746492048643592,4.25444340505145,23.554724041159965
cross_environment_drift,regime-only priority,0.3,8018,1421,0.17722624095784484,0.3678488221589438,1.2260862774005705,5.6425052779732585,0.19221702525724976,0.4295977549111319,0.6746492048643592,3.267993599994026,20.819457436856876
cross_environment_drift,gene+regime priority,0.01,268,188,0.7014925373134329,0.0486668392441108,4.853064473130079,1.425531914893617,0.0739756782039289,0.17163704396632368,0.3784845650140318,55.69462323555283,27.161833489242284
cross_environment_drift,gene+regime priority,0.05,1337,734,0.5489902767389678,0.19000776598498575,3.798023594576473,1.8215258855585832,0.0739756782039289,0.17163704396632368,0.3784845650140318,40.44439717810633,26.23760523854069
cross_environment_drift,gene+regime priority,0.1,2673,1252,0.4683875794986906,0.3241004400724825,3.240398152239841,2.1349840255591057,0.0739756782039289,0.17163704396632368,0.3784845650140318,32.3841274540786,23.592142188961645
cross_environment_drift,gene+regime priority,0.2,5345,2142,0.40074836295603367,0.5544913279834326,2.772456639917163,2.4953314659197012,0.0739756782039289,0.17163704396632368,0.3784845650140318,25.62020579981291,19.45369504209542
cross_environment_drift,gene+regime priority,0.3,8018,2563,0.31965577450735844,0.6634739839502977,2.2114420330595794,3.128365197034725,0.0739756782039289,0.17163704396632368,0.3784845650140318,17.510946954945386,15.412535079513564
cross_environment_drift,CAB-Balanced review queue,0.01,268,0,0.0,0.0,0.0,,0.11857811038353601,0.2211038353601497,0.6217025257249766,0.0,27.311506080449018
cross_environment_drift,CAB-Balanced review queue,0.05,1337,274,0.2049364248317128,0.07092932953662956,1.4177908241334518,4.87956204379562,0.11857811038353601,0.2211038353601497,0.6217025257249766,6.039011987380821,27.311506080449018
cross_environment_drift,CAB-Balanced review queue,0.1,2673,649,0.24279835390946503,0.16800414185865908,1.6797271571914194,4.11864406779661,0.11857811038353601,0.2211038353601497,0.6217025257249766,9.825204895156045,27.311506080449018
cross_environment_drift,CAB-Balanced review queue,0.2,5345,1708,0.3195509822263798,0.4421434118560704,2.210717059280352,3.129391100702576,0.11857811038353601,0.2211038353601497,0.6217025257249766,17.50046772684752,27.311506080449018
cross_environment_drift,CAB-Balanced review queue,0.3,8018,2377,0.2964579695684709,0.6153248770385711,2.0509550185652046,3.373159444678166,0.11857811038353601,0.2211038353601497,0.6217025257249766,15.191166461056635,27.311506080449018
cross_environment_drift,CAB-Strict review queue,0.01,268,17,0.06343283582089553,0.004400724825265338,0.43884093640006033,15.76470588235294,0.11554724041159962,0.21680074836295604,0.5680074836295603,0.0,27.311506080449018
cross_environment_drift,CAB-Strict review queue,0.05,1337,293,0.21914734480179507,0.07584778669427905,1.516104786390881,4.563139931740614,0.11554724041159962,0.21680074836295604,0.5680074836295603,7.4601039843890495,27.311506080449018
cross_environment_drift,CAB-Strict review queue,0.1,2673,666,0.24915824915824916,0.1724048666839244,1.7237261736355707,4.013513513513513,0.11554724041159962,0.21680074836295604,0.5680074836295603,10.46119442003446,27.311506080449018
cross_environment_drift,CAB-Strict review queue,0.2,5345,1744,0.32628624883068286,0.45146259383898524,2.2573129691949263,3.0647935779816518,0.11554724041159962,0.21680074836295604,0.5680074836295603,18.17399438727783,27.311506080449018
cross_environment_drift,CAB-Strict review queue,0.3,8018,2380,0.29683212771264655,0.6161014755371473,2.053543518798985,3.36890756302521,0.11554724041159962,0.21680074836295604,0.5680074836295603,15.228582275474198,27.30402245088868
cross_environment_drift,all-baseline predictor,0.01,268,243,0.9067164179104478,0.06290447838467512,6.27284397324792,1.102880658436214,0.05852198316183349,0.1382600561272217,0.26069223573433115,76.21701129525432,27.311506080449018
cross_environment_drift,all-baseline predictor,0.05,1337,853,0.6379955123410621,0.22081283976184313,4.4137794634519505,1.5674091441969518,0.05852198316183349,0.1382600561272217,0.26069223573433115,49.34492073831576,26.93358278765201
cross_environment_drift,all-baseline predictor,0.1,2673,1481,0.5540591096146652,0.38338079213046855,3.833090785516937,1.8048615800135044,0.05852198316183349,0.1382600561272217,0.26069223573433115,40.951280465676064,26.89616463985033
cross_environment_drift,all-baseline predictor,0.2,5345,2426,0.4538821328344247,0.6280093191819829,3.1400465959099146,2.203215169002473,0.05852198316183349,0.1382600561272217,0.26069223573433115,30.933582787652014,23.509822263797943
cross_environment_drift,all-baseline predictor,0.3,8018,3125,0.3897480668495884,0.808956769350246,2.696354410187743,2.56576,0.05852198316183349,0.1382600561272217,0.26069223573433115,24.52017618916838,19.50982226379794
semantic_drift_without_reclassification,random review,0.01,268,109,0.40671641791044777,0.011045804620997163,1.1014892854333924,2.458715596330275,0.24542563143124416,0.4996819457436857,0.7502338634237605,3.747413540343186,26.997193638914872
semantic_drift_without_reclassification,random review,0.05,1337,515,0.3851907255048616,0.052188893392784756,1.0431923529709592,2.5961165048543693,0.24542563143124416,0.4996819457436857,0.7502338634237605,1.5948442997845702,25.878391019644525
semantic_drift_without_reclassification,random review,0.1,2673,1023,0.38271604938271603,0.10366842318605594,1.0364903141217152,2.612903225806452,0.24542563143124416,0.4996819457436857,0.7502338634237605,1.3473766875700122,24.58372310570627
semantic_drift_without_reclassification,random review,0.2,5345,2013,0.3766136576239476,0.2039927036886907,1.0199635184434535,2.6552409339294587,0.24542563143124416,0.4996819457436857,0.7502338634237605,0.73713751169317,21.777362020579982
semantic_drift_without_reclassification,random review,0.3,8018,2987,0.3725367922175106,0.3026955816781516,1.0089223522510105,2.684298627385336,0.24542563143124416,0.4996819457436857,0.7502338634237605,0.32945097104947196,18.98971000935454
semantic_drift_without_reclassification,gene-only priority,0.01,268,203,0.7574626865671642,0.020571544385893797,2.0513974765410885,1.3201970443349753,0.15872778297474274,0.37148737137511695,0.6345743685687558,38.82204040601483,27.311506080449018
semantic_drift_without_reclassification,gene-only priority,0.05,1337,932,0.6970830216903515,0.0944466963923794,1.8878743164445322,1.434549356223176,0.15872778297474274,0.37148737137511695,0.6345743685687558,32.78407391833356,26.881197380729656
semantic_drift_without_reclassification,gene-only priority,0.1,2673,1672,0.6255144032921811,0.16943656262667206,1.6940486854462444,1.5986842105263157,0.15872778297474274,0.37148737137511695,0.6345743685687558,25.62721207851652,25.15622076707203
semantic_drift_without_reclassification,gene-only priority,0.2,5345,3059,0.572310570626754,0.3099918929874341,1.5499594649371706,1.747303040209219,0.15872778297474274,0.37148737137511695,0.6345743685687558,20.306828811973805,20.606173994387277
semantic_drift_without_reclassification,gene-only priority,0.3,8018,4221,0.5264405088550761,0.4277462505066883,1.4257319212760344,1.8995498696991233,0.15872778297474274,0.37148737137511695,0.6345743685687558,15.719822634806018,16.819457436856876
semantic_drift_without_reclassification,metadata-only priority,0.01,268,58,0.21641791044776118,0.005877584110255371,0.5861135647260253,4.620689655172414,0.25638914873713753,0.5231805425631432,0.7602993451824135,0.0,26.65668849391955
semantic_drift_without_reclassification,metadata-only priority,0.05,1337,409,0.3059087509349289,0.041447101743007704,0.8284770337186842,3.268948655256724,0.25638914873713753,0.5231805425631432,0.7602993451824135,0.0,24.452759588400376
semantic_drift_without_reclassification,metadata-only priority,0.1,2673,826,0.30901608679386455,0.08370490474260235,0.8368924725948551,3.236077481840194,0.25638914873713753,0.5231805425631432,0.7602993451824135,0.0,24.119738072965387
semantic_drift_without_reclassification,metadata-only priority,0.2,5345,1925,0.3601496725912067,0.19507498986623428,0.9753749493311714,2.7766233766233768,0.25638914873713753,0.5231805425631432,0.7602993451824135,0.0,21.998129092609915
semantic_drift_without_reclassification,metadata-only priority,0.3,8018,2952,0.3681716138687952,0.2991487636805837,0.9971003628540284,2.7161246612466123,0.25638914873713753,0.5231805425631432,0.7602993451824135,0.0,18.581852198316184
semantic_drift_without_reclassification,regime-only priority,0.01,268,199,0.7425373134328358,0.020166193757600325,2.0109758513875695,1.3467336683417086,0.14110383536014967,0.2991955098222638,0.6515622076707203,37.32950309258199,26.9822263797942
semantic_drift_without_reclassification,regime-only priority,0.05,1337,884,0.6611817501869858,0.08958248885285772,1.7906447379152002,1.512443438914027,0.14110383536014967,0.2991955098222638,0.6515622076707203,29.193946767996987,26.37979420018709
semantic_drift_without_reclassification,regime-only priority,0.1,2673,1756,0.6569397680508792,0.17794892582083502,1.7791563945236872,1.5222095671981777,0.14110383536014967,0.2991955098222638,0.6515622076707203,28.769748554386325,25.421889616463982
semantic_drift_without_reclassification,regime-only priority,0.2,5345,3508,0.6563143124415342,0.3554925010133766,1.7774625050668829,1.523660205245154,0.14110383536014967,0.2991955098222638,0.6515622076707203,28.707202993451826,23.58840037418148
semantic_drift_without_reclassification,regime-only priority,0.3,8018,4940,0.6161137440758294,0.5006080259424402,1.6685893606026085,1.623076923076923,0.14110383536014967,0.2991955098222638,0.6515622076707203,24.68714615688135,22.211412535079514
semantic_drift_without_reclassification,gene+regime priority,0.01,268,224,0.835820895522388,0.022699635184434536,2.263611008597063,1.1964285714285714,0.11086997193638914,0.27913938260056126,0.5292422825070159,46.65786130153721,27.21047708138447
semantic_drift_without_reclassification,gene+regime priority,0.05,1337,1197,0.8952879581151832,0.12130117551682205,2.42466261457522,1.1169590643274854,0.11086997193638914,0.27913938260056126,0.5292422825070159,52.604567560816726,26.63797942001871
semantic_drift_without_reclassification,gene+regime priority,0.1,2673,2249,0.8413767302656191,0.22790839075800567,2.2786575918472507,1.1885282347710093,0.11086997193638914,0.27913938260056126,0.5292422825070159,47.21344477586032,25.391955098222642
semantic_drift_without_reclassification,gene+regime priority,0.2,5345,3898,0.7292797006548176,0.3950141872719903,1.9750709363599515,1.371216008209338,0.11086997193638914,0.27913938260056126,0.5292422825070159,36.00374181478017,22.828811973807298
semantic_drift_without_reclassification,gene+regime priority,0.3,8018,5164,0.6440508855076079,0.5233076611268748,1.7442500927432936,1.5526723470178156,0.11086997193638914,0.27913938260056126,0.5292422825070159,27.480860300059202,21.84845650140318
semantic_drift_without_reclassification,CAB-Balanced review queue,0.01,268,218,0.8134328358208955,0.022091609241994326,2.202978570866785,1.2293577981651376,0.23188026192703462,0.47906454630495793,0.693956969130028,44.419055331387966,27.311506080449018
semantic_drift_without_reclassification,CAB-Balanced review queue,0.05,1337,553,0.41361256544502617,0.056039724361572764,1.1201657693066807,2.4177215189873418,0.23188026192703462,0.47906454630495793,0.693956969130028,4.437028293801026,27.311506080449018
semantic_drift_without_reclassification,CAB-Balanced review queue,0.1,2673,992,0.37111859334081554,0.10052695581678152,1.0050815167240874,2.6945564516129035,0.23188026192703462,0.47906454630495793,0.693956969130028,0.18763108337996326,27.311506080449018
semantic_drift_without_reclassification,CAB-Balanced review queue,0.2,5345,2108,0.3943872778297474,0.2136197811106607,1.0680989055533037,2.5355787476280836,0.23188026192703462,0.47906454630495793,0.693956969130028,2.514499532273151,27.311506080449018
semantic_drift_without_reclassification,CAB-Balanced review queue,0.3,8018,3250,0.405337989523572,0.3293473854884475,1.0977561582911899,2.467076923076923,0.23188026192703462,0.47906454630495793,0.693956969130028,3.6095707016556067,27.311506080449018
semantic_drift_without_reclassification,CAB-Strict review queue,0.01,268,202,0.753731343283582,0.02047020672882043,2.041292070252709,1.3267326732673268,0.23255378858746492,0.5154349859681946,0.7119925163704397,38.448906077656616,27.311506080449018
semantic_drift_without_reclassification,CAB-Strict review queue,0.05,1337,529,0.3956619296933433,0.05360762059181192,1.0715509800420144,2.5274102079395084,0.23255378858746492,0.5154349859681946,0.7119925163704397,2.641964718632739,27.311506080449018
semantic_drift_without_reclassification,CAB-Strict review queue,0.1,2673,974,0.36438458660680884,0.09870287798946088,0.986844150493207,2.74435318275154,0.23255378858746492,0.5154349859681946,0.7119925163704397,0.0,27.311506080449018
semantic_drift_without_reclassification,CAB-Strict review queue,0.2,5345,2092,0.39139382600561273,0.21199837859748683,1.0599918929874341,2.5549713193116634,0.23255378858746492,0.5154349859681946,0.7119925163704397,2.2151543498596826,27.311506080449018
semantic_drift_without_reclassification,CAB-Strict review queue,0.3,8018,3168,0.39511100024943874,0.3210376976084313,1.0700589259896889,2.5309343434343434,0.23255378858746492,0.5154349859681946,0.7119925163704397,2.586871774242283,27.30402245088868
semantic_drift_without_reclassification,all-baseline predictor,0.01,268,259,0.9664179104477612,0.026246453182002433,2.6173002286903544,1.034749034749035,0.10694106641721235,0.26948550046772685,0.511244153414406,59.71756279407452,27.311506080449018
semantic_drift_without_reclassification,all-baseline predictor,0.05,1337,1268,0.9483919222139118,0.1284961491690312,2.5684813661498573,1.0544164037854888,0.10694106641721235,0.26948550046772685,0.511244153414406,57.914963970689584,27.128157156220766
semantic_drift_without_reclassification,all-baseline predictor,0.1,2673,2340,0.8754208754208754,0.2371301175516822,2.3708576100144807,1.1423076923076922,0.10694106641721235,0.26948550046772685,0.511244153414406,50.617859291385955,26.23760523854069
semantic_drift_without_reclassification,all-baseline predictor,0.2,5345,3948,0.7386342376052385,0.4000810701256587,2.0004053506282933,1.3538500506585613,0.10694106641721235,0.26948550046772685,0.511244153414406,36.93919550982226,23.693171188026195
semantic_drift_without_reclassification,all-baseline predictor,0.3,8018,5361,0.668620603641806,0.5432711795703283,1.8107910044920212,1.4956164894609214,0.10694106641721235,0.26948550046772685,0.511244153414406,29.937832113479008,22.319925163704397
conservative_composite_non_portability,random review,0.01,268,104,0.3880597014925373,0.010334890191791712,1.0305967924463937,2.5769230769230766,0.25197380729653884,0.5052572497661366,0.754200187090739,1.152088016419306,27.04957904583723
conservative_composite_non_portability,random review,0.05,1337,507,0.37920718025430067,0.050382589684984595,1.0070865440024033,2.6370808678500985,0.25197380729653884,0.5052572497661366,0.754200187090739,0.26683589259564044,25.94574368568756
conservative_composite_non_portability,random review,0.1,2673,1000,0.37411148522259635,0.09937394415184339,0.9935535568492385,2.673,0.25197380729653884,0.5052572497661366,0.754200187090739,0.0,24.460243217960713
conservative_composite_non_portability,random review,0.2,5345,1999,0.37399438727782974,0.19864851435953493,0.9932425717976746,2.6738369184592297,0.25197380729653884,0.5052572497661366,0.754200187090739,0.0,21.773620205799812
conservative_composite_non_portability,random review,0.3,8018,2983,0.37203791469194314,0.2964324754049488,0.9880466332249012,2.6878980891719744,0.25197380729653884,0.5052572497661366,0.754200187090739,0.0,19.045837231057064
conservative_composite_non_portability,gene-only priority,0.01,268,192,0.7164179104477612,0.01907979727715393,1.9026402322087266,1.3958333333333335,0.15734331150608044,0.37051449953227317,0.6364826941066417,33.98790891194169,27.2778297474275
conservative_composite_non_portability,gene-only priority,0.05,1337,981,0.7337322363500374,0.09748583921295836,1.9486230762650052,1.36289500509684,0.15734331150608044,0.37051449953227317,0.6364826941066417,35.719341502169314,26.873713751169316
conservative_composite_non_portability,gene-only priority,0.1,2673,1725,0.6453423120089786,0.17142005366192983,1.7138798855649362,1.5495652173913044,0.15734331150608044,0.37051449953227317,0.6364826941066417,26.880349068063435,25.208606173994387
conservative_composite_non_portability,gene-only priority,0.2,5345,3117,0.5831618334892423,0.30974858392129584,1.5487429196064793,1.7147898620468398,0.15734331150608044,0.37051449953227317,0.6364826941066417,20.66230121608981,20.651075771749298
conservative_composite_non_portability,gene-only priority,0.3,8018,4274,0.5330506360688451,0.42472423730497866,1.4156591721096972,1.8759943846513805,0.15734331150608044,0.37051449953227317,0.6364826941066417,15.65118147405008,16.490177736202057
conservative_composite_non_portability,metadata-only priority,0.01,268,63,0.23507462686567165,0.006260558481566134,0.6243038261934885,4.253968253968254,0.26095416276894295,0.5270720299345183,0.7662488306828812,0.0,26.645463049579043
conservative_composite_non_portability,metadata-only priority,0.05,1337,408,0.3051608077786088,0.0405445692139521,0.8104365087829991,3.2769607843137254,0.26095416276894295,0.5270720299345183,0.7662488306828812,0.0,24.452759588400376
