endpoint,model,N,positive_N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10
proxy_true_environment_shift,gene-only,26725,4003,0.14978484565014033,0.7729313370574569,0.35773997808863084,0.1085468087389353,0.448559670781893,0.2995253559830127,2.994693280451184,2.2293577981651373
proxy_true_environment_shift,regime-only,26725,4003,0.14978484565014033,0.5712270402866365,0.1766309772391651,0.12580296808660246,0.19229330340441453,0.1284036972270797,1.2837967857814083,5.200389105058365
proxy_true_environment_shift,gene+regime,26725,4003,0.14978484565014033,0.7829688753591483,0.4122006686972699,0.10609379849194495,0.4781144781144781,0.31926055458406194,3.192008350639377,2.091549295774648
proxy_true_environment_shift,full baseline,26725,4003,0.14978484565014033,0.8695801887691704,0.5489186216019452,0.09045872395108867,0.5645342312008979,0.37696727454409196,3.768967606506119,1.771371769383698
proxy_true_environment_shift,gene+ontology,26725,4003,0.14978484565014033,0.9999683473905442,0.9996835007047122,5.6384213112903004e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
proxy_true_environment_shift,gene+ontology+CAB,26725,4003,0.14978484565014033,0.9999655108593737,0.9996186797404205,5.395361523141579e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
proxy_true_plus_uncertain,gene-only,26725,5789,0.2166136576239476,0.7755187432016487,0.471142355430321,0.14013872627135981,0.5372240927796483,0.24805665918120573,2.480102587586129,1.8614206128133706
proxy_true_plus_uncertain,regime-only,26725,5789,0.2166136576239476,0.6103589446945649,0.287401899786103,0.16379741294967,0.3269734380845492,0.15097598894455,1.5094774801882151,3.0583524027459954
proxy_true_plus_uncertain,gene+regime,26725,5789,0.2166136576239476,0.7928757107430964,0.5293425122890488,0.13420451740408462,0.6236438458660681,0.2879599239937813,2.879060594363564,1.603479304139172
proxy_true_plus_uncertain,full baseline,26725,5789,0.2166136576239476,0.8359672904873479,0.6182880156614302,0.12262004982953219,0.7010849233071456,0.3237173950595958,3.2365684186186674,1.426360725720384
proxy_true_plus_uncertain,gene+ontology,26725,5789,0.2166136576239476,0.9929063027048585,0.9784118944214538,0.0261957262214297,0.9988776655443322,0.4612195543271722,4.611332805609307,1.001123595505618
proxy_true_plus_uncertain,gene+ontology+CAB,26725,5789,0.2166136576239476,0.9929186295896854,0.9793900468002245,0.02488515857117349,0.9996258885147774,0.46156503713940233,4.614786987486168,1.000374251497006
E3_cross_environment_drift,gene-only,26725,4009,0.1500093545369504,0.7736288323977513,0.3613141826408856,0.10859802722973769,0.4481855592966704,0.29882763781491645,2.9877174038921224,2.231218697829716
E3_cross_environment_drift,regime-only,26725,4009,0.1500093545369504,0.5710764642031217,0.1771277248598819,0.12594904083966407,0.1937897493453049,0.12920927912197555,1.2918510978431714,5.16023166023166
E3_cross_environment_drift,gene+regime,26725,4009,0.1500093545369504,0.783922189337066,0.41324172349150035,0.10616894132667903,0.4784885895997007,0.3190321776003991,3.189725007995012,2.089913995308835
E3_cross_environment_drift,full baseline,26725,4009,0.1500093545369504,0.8699638318186265,0.5510290389144401,0.09047575358176191,0.5649083426861204,0.37665253180344227,3.7658207678439934,1.7701986754966887
E3_cross_environment_drift,gene+ontology,26725,4009,0.1500093545369504,0.9987571326023754,0.9989403710086776,0.0003530396806520409,1.0,0.6667498129209279,6.666250935395361,1.0
E3_cross_environment_drift,gene+ontology+CAB,26725,4009,0.1500093545369504,0.9987568031798151,0.998940024645994,0.0003526707695192532,1.0,0.6667498129209279,6.666250935395361,1.0
