row_type,endpoint_or_action,label,N,modifier_N,modifier_positive_N,modifier_positive_rate,non_modifier_positive_rate,OR,CI95_low,CI95_high,p_value_descriptive_only,publication_use,source,non_modifier_N,non_modifier_positive_N
old_OR_quarantine,population_penetrance_review / PRF-needed routing,routing-defined endpoint; quasi-separation; not independent biological effect size,16125,16125,16125,1.0,0.4471698113207547,39870.6856871638,2492.9715635902658,637661.3357254813,9.238557115753302e-12,QC only; do not report as biological effect size,reports/tables/disease_architecture_regime_enrichment_tests.csv,,
negative_control_circularity_audit,routing_defined_PRF_needed,routing-defined endpoint; expected quasi-separation,26725,16125,16125,1.0,0.0042452830188679245,7481877.593406593,460855.2782568898,121466531.82415359,0.0,QC only; confirms routing circularity hazard,three_domain_benchmark_baseline_routing_fields,10600.0,45.0
negative_control_circularity_audit,primary_routing_action_population_penetrance_review_PRF_needed,routing-defined endpoint; expected quasi-separation,26725,16125,16125,1.0,0.0,683753451.0,13565377.717775192,34464118248.75351,0.0,QC only; confirms routing circularity hazard,three_domain_benchmark_baseline_routing_fields,10600.0,0.0
negative_control_circularity_audit,population_or_penetrance_review_required_baseline_flag,routing-defined endpoint; expected quasi-separation,26725,16125,2532,0.1570232558139535,0.0439622641509434,4.047332099608953,3.6546898243372468,4.482157970135148,4.624557077888241e-202,QC only; confirms routing circularity hazard,three_domain_benchmark_baseline_routing_fields,10600.0,466.0
modifier_routing_distribution,population/penetrance review; PRF-needed,routing distribution within modifier/penetrance-boundary class,16125,16125,16125,1.0,,,,,,QC/supporting routing distribution only,data/processed/assertion_disease_architecture_regime_map_final.csv,,
