policy,stratum,N,unsupported_reuse_E3_rate,direct_use_rate,overrestriction_rate_E3E4_portable,true_portable_allowance_rate,E4_false_direct_use_rate_all,E4_false_direct_use_rate_among_direct,SADS_false_direct_use_rate_all,SADS_false_direct_use_rate_among_SADS_direct,E3_false_direct_N,E4_false_direct_N
CAB-Balanced-global,all,26725,0.027427502338634238,0.27311506080449016,0.6043030869971936,0.2890473674942772,0.027427502338634238,0.10042471571448143,0.00011225444340505144,0.007556675062972292,733,733
CAB-Balanced-global,hereditary_cancer,20865,0.03402827701893123,0.30184519530313925,0.5702851665468488,0.31955166695259335,0.03402827701893123,0.11273420133375675,0.0,0.0,710,710
CAB-Balanced-global,cardiomyopathy,4918,0.004066693777958519,0.12281415209434729,0.7826352175681172,0.13173922851342207,0.004066693777958519,0.033112582781456956,0.0,0.0,20,20
CAB-Balanced-global,inherited_arrhythmia,942,0.0031847133757961785,0.42144373673036095,0.4267515923566879,0.4949748743718593,0.0031847133757961785,0.007556675062972292,0.0031847133757961785,0.007556675062972292,3,3
CAB-Balanced-global,BRCA1/2-like stable,7829,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
CAB-Balanced-global,MMR/Lynch-like stable,3891,0.0,0.3783089180159342,0.6216910819840658,0.3783089180159342,0.0,0.0,0.0,0.0,0,0
CAB-Balanced-global,SADS-sensitive,2128,0.0014097744360902255,0.18656015037593984,0.6931390977443609,0.2108079186730872,0.0014097744360902255,0.007556675062972292,0.0014097744360902255,0.007556675062972292,3,3
CAB-Balanced-domain-calibrated,all,26725,0.03472404115996258,0.546155285313377,0.3385594013096352,0.6016904384574749,0.03472404115996258,0.0635790627569197,0.00011225444340505144,0.007556675062972292,928,928
CAB-Balanced-domain-calibrated,hereditary_cancer,20865,0.043374071411454586,0.6515696141864367,0.22990654205607478,0.7256819351518271,0.043374071411454586,0.06656859139389482,0.0,0.0,905,905
CAB-Balanced-domain-calibrated,cardiomyopathy,4918,0.004066693777958519,0.12281415209434729,0.7826352175681172,0.13173922851342207,0.004066693777958519,0.033112582781456956,0.0,0.0,20,20
CAB-Balanced-domain-calibrated,inherited_arrhythmia,942,0.0031847133757961785,0.42144373673036095,0.4267515923566879,0.4949748743718593,0.0031847133757961785,0.007556675062972292,0.0031847133757961785,0.007556675062972292,3,3
CAB-Balanced-domain-calibrated,BRCA1/2-like stable,7829,0.0,0.9063737386639418,0.09362626133605824,0.9063737386639418,0.0,0.0,0.0,0.0,0,0
CAB-Balanced-domain-calibrated,MMR/Lynch-like stable,3891,0.0,0.3783089180159342,0.6216910819840658,0.3783089180159342,0.0,0.0,0.0,0.0,0,0
CAB-Balanced-domain-calibrated,SADS-sensitive,2128,0.0014097744360902255,0.18656015037593984,0.6931390977443609,0.2108079186730872,0.0014097744360902255,0.007556675062972292,0.0014097744360902255,0.007556675062972292,3,3
CAB-SADS-high-stringency,all,26725,0.03461178671655753,0.540243217960711,0.34435921421889615,0.5948670540588131,0.03461178671655753,0.06406704529713257,0.0,0.0,925,925
CAB-SADS-high-stringency,hereditary_cancer,20865,0.043374071411454586,0.6515696141864367,0.22990654205607478,0.7256819351518271,0.043374071411454586,0.06656859139389482,0.0,0.0,905,905
CAB-SADS-high-stringency,cardiomyopathy,4918,0.004066693777958519,0.12281415209434729,0.7826352175681172,0.13173922851342207,0.004066693777958519,0.033112582781456956,0.0,0.0,20,20
CAB-SADS-high-stringency,inherited_arrhythmia,942,0.0,0.2537154989384289,0.5912951167728238,0.30025125628140703,0.0,0.0,0.0,0.0,0,0
CAB-SADS-high-stringency,BRCA1/2-like stable,7829,0.0,0.9063737386639418,0.09362626133605824,0.9063737386639418,0.0,0.0,0.0,0.0,0,0
CAB-SADS-high-stringency,MMR/Lynch-like stable,3891,0.0,0.3783089180159342,0.6216910819840658,0.3783089180159342,0.0,0.0,0.0,0.0,0,0
CAB-SADS-high-stringency,SADS-sensitive,2128,0.0,0.11231203007518797,0.7659774436090225,0.12787586944890317,0.0,0.0,0.0,0.0,0,0
