endpoint,model,N,positive_N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10
E1_crude_condition_label_drift,string similarity only,26725,9868,0.3692422825070159,0.82390090272453,0.5712883185106669,0.21649562840697822,0.3898241676019454,0.10559383867044994,1.0557408673654225,2.5652591170825336
E1_crude_condition_label_drift,MONDO graph distance only,26725,9868,0.3692422825070159,0.7600954657599432,0.739480633496345,0.16312290231987828,1.0,0.2708755573571139,2.708248885285772,1.0
E1_crude_condition_label_drift,HPO overlap only,26725,9868,0.3692422825070159,0.49959776037826376,0.36893535197805744,0.23291295594875658,0.3655069210624766,0.099006890960681,0.989883711531687,2.735926305015353
E1_crude_condition_label_drift,condition specificity only,26725,9868,0.3692422825070159,0.8212121183702706,0.7043436929449394,0.1696606855117417,0.8398802843247287,0.2275030401297122,2.274604843795944,1.1906458797327395
E1_crude_condition_label_drift,ontology-only combined,26725,9868,0.3692422825070159,0.902344915030626,0.8677183742223268,0.11853565504355051,0.9820426487093153,0.2660113498175922,2.6596159086700903,1.0182857142857142
E1_crude_condition_label_drift,CAB regime only,26725,9868,0.3692422825070159,0.6688244487915577,0.5396823017619377,0.20335664654650243,0.6397306397306397,0.17328739359546008,1.732549791933659,1.563157894736842
E1_crude_condition_label_drift,gene + ontology,26725,9868,0.3692422825070159,0.9780170595696618,0.9693841465105313,0.05263626175893065,0.9988776655443322,0.2705715443858938,2.705209324247292,1.001123595505618
E1_crude_condition_label_drift,gene + ontology + CAB,26725,9868,0.3692422825070159,0.97836269089527,0.969260856823613,0.05227870942694265,0.9988776655443322,0.2705715443858938,2.705209324247292,1.001123595505618
E2_normalized_condition_label_drift,string similarity only,26725,5789,0.2166136576239476,0.8254366737067975,0.42761564817151104,0.1514138609945404,0.3838383838383838,0.17723268267403697,1.7719953028296438,2.605263157894737
E2_normalized_condition_label_drift,MONDO graph distance only,26725,5789,0.2166136576239476,0.9732183121666255,0.9140854413347699,0.04417052508002131,1.0,0.46173777854551734,4.616514078424599,1.0
E2_normalized_condition_label_drift,HPO overlap only,26725,5789,0.2166136576239476,0.49998924491675245,0.2165677978647455,0.16969155340104616,0.2566404788627011,0.1185006045949214,1.18478438376329,3.8965014577259476
