study,cohort_N,carrier_N,phenotype_metric,carrier_with_phenotype_N,carrier_with_phenotype_denominator,noncarrier_with_phenotype_N,noncarrier_with_phenotype_denominator,carrier_phenotype_rate,noncarrier_phenotype_rate,CAB_mapping,citation,P_LP_carrier_N,ultra_rare_VUS_N,returned_results_N,inherited_arrhythmia_diagnoses_after_RoR_or_review_N,diagnoses_after_return_of_results_N,VUS_functionally_studied_N,VUS_reclassified_N,VUS_reclassified_rate
eMERGE SCN5A/KCNH2 JAMA 2016,2022,223.0,ICD-9 arrhythmia code among reviewed subset,11.0,63.0,264.0,1959.0,0.1746031746031746,0.13476263399693722,variant carriership does not deterministically equal phenotype realization,https://www.acc.org/latest-in-cardiology/journal-scans/2016/01/12/12/21/association-of-arrhythmia-related-genetic-variants,,,,,,,,
eMERGE-III inherited arrhythmia sequencing study,21846,,,,,,,,,genotype-first phenotype concordance and reclassification are real curation problems,https://www.medrxiv.org/content/10.1101/2021.03.30.21254549.full,123.0,1838.0,51.0,18.0,11.0,50.0,11.0,0.22
