gold_standard,domain,operating_mode,features,purpose,N,unsupported_deterministic_reuse_rate,absolute_reduction_vs_ClinVar_baseline,relative_reduction_vs_ClinVar_baseline,direct_use_allowed_rate,true_portable_assertions_N,true_portable_allowed_direct_use_N,true_portable_allowed_direct_use_rate,false_restriction_N,false_restriction_rate,overrestriction_rate,nonportability_recall,direct_use_precision,direct_use_recall,specificity,F1_nonportability_detection
temporal_condition_label_drift,cardiomyopathy,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,4918,0.3865392435949573,0.0,0.0,1.0,3017,3017,1.0,0,0.0,0.0,0.0,0.6134607564050427,1.0,1.0,
temporal_condition_label_drift,cardiomyopathy,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,4918,0.03924359495729972,0.34729564863765755,0.8984744871120462,0.12281415209434729,3017,411,0.13622804110043088,2606,0.8637719588995691,0.5298901992679951,0.8984744871120462,0.6804635761589404,0.13622804110043088,0.13622804110043088,0.5496379726468222
temporal_condition_label_drift,cardiomyopathy,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,4918,0.03924359495729972,0.34729564863765755,0.8984744871120462,0.12281415209434729,3017,411,0.13622804110043088,2606,0.8637719588995691,0.5298901992679951,0.8984744871120462,0.6804635761589404,0.13622804110043088,0.13622804110043088,0.5496379726468222
temporal_condition_label_drift,hereditary_cancer,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,20865,0.3643421998562186,0.0,0.0,1.0,13263,13263,1.0,0,0.0,0.0,0.0,0.6356578001437815,1.0,1.0,
temporal_condition_label_drift,hereditary_cancer,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,20865,0.013850946561226936,0.35049125329499164,0.9619836885030255,0.044140905823148814,13263,632,0.04765136092889995,12631,0.9523486390711,0.6053678408818596,0.9619836885030255,0.6862106406080347,0.04765136092889995,0.04765136092889995,0.530966383503957
temporal_condition_label_drift,hereditary_cancer,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,20865,0.08531032830098251,0.27903187155523607,0.7658510918179426,0.30184519530313925,13263,4518,0.34064691246324363,8745,0.6593530875367564,0.41912293314162474,0.7658510918179426,0.7173705938393141,0.34064691246324363,0.34064691246324363,0.5252379448779828
temporal_condition_label_drift,inherited_arrhythmia,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,942,0.3874734607218684,0.0,0.0,1.0,577,577,1.0,0,0.0,0.0,0.0,0.6125265392781316,1.0,1.0,
temporal_condition_label_drift,inherited_arrhythmia,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,942,0.1740976645435244,0.21337579617834398,0.5506849315068494,0.6762208067940552,577,473,0.8197573656845754,104,0.18024263431542462,0.11040339702760085,0.5506849315068493,0.7425431711145997,0.8197573656845754,0.8197573656845754,0.6000000000000001
temporal_condition_label_drift,inherited_arrhythmia,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,942,0.021231422505307854,0.36624203821656054,0.9452054794520548,0.42144373673036095,577,377,0.6533795493934142,200,0.3466204506065858,0.21231422505307856,0.9452054794520548,0.9496221662468514,0.6533795493934142,0.6533795493934142,0.7582417582417583
cross_environment_drift,cardiomyopathy,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,4918,0.0986173241154941,0.0,0.0,1.0,4433,4433,1.0,0,0.0,0.0,0.0,0.9013826758845059,1.0,1.0,
