determinant,N,condition_label_drift_rate,cross_environment_drift_rate,self_loop_stability_rate,odds_ratio_for_cross_environment_drift,p_value,domain_distribution,gene_distribution_top10,FDR_p_value
disease_model_collision,4117,0.5693466116103959,0.1503521982025747,0.8496478017974253,1.1315031035017167,0.005300000426735177,cardiomyopathy:2135; hereditary_cancer:1982,TTN:1416; ATM:754; MLH1:347; MSH2:327; FLNC:207; MSH6:181; PTEN:152; MYBPC3:115; LMNA:96; PMS2:84,0.010600000853470353
gene_pleiotropy,9268,0.330168321104877,0.09775571860164005,0.90224428139836,0.5825940497395474,1.0,hereditary_cancer:9268,BRCA2:4414; BRCA1:3712; MSH6:279; PTEN:179; MSH2:156; PMS2:143; TP53:129; MLH1:111; STK11:74; CDH1:71,1.0
nonspecific_labeling,5313,0.3489553924336533,0.24317711274233014,0.7568228872576699,2.5231508346612386,1.0899219115758047e-120,hereditary_cancer:2513; cardiomyopathy:1858; inherited_arrhythmia:942,TTN:724; MSH2:654; MSH6:576; MLH1:492; APC:369; KCNH2:291; LMNA:259; PMS2:256; MYBPC3:192; PKP2:192,8.719375292606437e-120
organ_specificity,1055,0.3052132701421801,0.22464454976303316,0.7753554502369668,1.8714544492810852,3.3697358164495636e-15,hereditary_cancer:1055,MSH6:318; MSH2:287; MLH1:208; PMS2:188; EPCAM:53; APC:1,8.985962177198836e-15
penetrance_boundary,2998,0.35957304869913276,0.2511674449633089,0.7488325550366911,2.370702060507078,3.283250427403116e-70,hereditary_cancer:2998,ATM:1483; PALB2:917; CHEK2:598,1.3133001709612463e-69
phenotype_anchoring,604,0.3195364238410596,0.033112582781456956,0.9668874172185431,0.2108592841544003,1.0,cardiomyopathy:604,MYBPC3:410; MYH7:131; TPM1:20; TNNI3:18; TNNT2:16; ACTN2:5; VCL:2; ACTC1:2,1.0
structural_substrate,1855,0.3654986522911051,0.015633423180592992,0.984366576819407,0.09289666625468979,1.0,cardiomyopathy:1855,TTN:1364; DSP:266; BAG3:77; LMNA:67; PKP2:41; RBM20:11; DSG2:10; PLN:6; DES:6; DSC2:4,1.0
syndrome_anchoring,3049,0.24434240734667104,0.009183338799606429,0.9908166612003936,0.051327429981828446,1.0,hereditary_cancer:3049,APC:962; MLH1:317; MSH2:312; CDH1:279; PTEN:271; MUTYH:184; TP53:182; STK11:139; BMPR1A:132; SMAD4:128,1.0
