model,endpoint,N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10,expected_calibration_error,calibration_intercept,calibration_slope
gene+regime,E3_cross_environment_drift,26725,0.1500093545369504,0.783922189337066,0.41324172349150035,0.10616894132667903,0.4784885895997007,0.3190321776003991,3.189725007995012,2.089913995308835,0.009736010076314843,-0.003768250921376209,0.9978544724769581
gene+baseline-ontology+CAB,E3_cross_environment_drift,26725,0.1500093545369504,0.8795912665423382,0.5784967817995416,0.08788525877721028,0.6015712682379349,0.4010975305562484,4.010225029598107,1.662313432835821,0.008607675739610104,0.017818395569258794,1.0197763714772343
full baseline no follow-up ontology,E3_cross_environment_drift,26725,0.1500093545369504,0.8801339023646874,0.58613525840441,0.08749187196520243,0.6127946127946128,0.40858069343976056,4.085042660747326,1.6318681318681318,0.01362785297713711,0.0135102985389649,1.0142013063163198
